event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000001,c15dc160-1a8b-401c-814d-29cd475d5282,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000002,df65a749-62e6-47de-acf1-1ff7d1223046,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000003,3854587e-08de-4fc8-9e1b-07317ae9ea72,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000004,ba9497e5-3dd7-4472-acee-79e2011d372b,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000005,6f9391d6-333f-4e09-9c69-099b56a9dacc,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000006,8a14554a-1643-4669-9d17-e24a4ef85f10,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000007,8b990494-30f4-401d-8ff3-22b57c2c2200,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000008,5ec164ff-b495-4dd8-a2cd-e74464347fae,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000009,7488b518-aa1b-4fc2-a7a7-0a500f34dabb,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000010,40f26d61-fbef-4e13-831d-742bb63daa58,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000011,2d22be89-53bd-4432-8468-b7fe43fbe066,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000012,7ea9b397-0951-4b43-a9ed-2de26274c3d2,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000013,796dbb16-a4ee-4bf6-b568-7c8b9cd99cdb,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000014,3aa4c478-3e7c-42b1-9ae2-ff36b045ca89,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000015,6c7e8600-67cb-4393-a302-fcb3d30ec228,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000016,4ab3a111-87bf-46bf-bb53-55dc34d51c84,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000017,6f238eca-66b1-4764-934a-2c295f6e489f,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000018,868cb6fb-b31b-44bc-8144-bc87206a23e5,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000019,f6227f7b-644a-4a05-94e6-ce8c9d4ccf13,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000020,cb4aa9cb-01dd-46e7-8b87-5b5d5f991c9c,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000021,5878a994-08bb-4c1f-bebc-5c8024a4f6d8,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000022,cbf9c3a0-d08e-49a1-9466-4862a3f8426b,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000023,434afada-f7c9-435f-8f8f-4dd8cd38e282,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000024,ffa31baf-f142-4375-8042-fed3e184fdd4,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000025,9cd65ee0-98ab-42d8-a596-00a42b5dcd2a,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000026,5b32dd53-1570-4383-9593-c9e5d4608527,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000027,c1d1926a-eb0a-403d-8755-8d9cfcc2ce0e,promotion,2026-1,36,36,C,Consultant,TestOffice,C,SrC,CAT36,0.2,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000028,df65a749-62e6-47de-acf1-1ff7d1223046,promotion,2026-7,42,18,SrC,Consultant,TestOffice,SrC,AM,CAT18,0.317,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000029,7ea9b397-0951-4b43-a9ed-2de26274c3d2,promotion,2027-1,48,18,SrC,Consultant,TestOffice,SrC,AM,CAT18,0.317,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000030,6c7e8600-67cb-4393-a302-fcb3d30ec228,promotion,2027-1,48,18,SrC,Consultant,TestOffice,SrC,AM,CAT18,0.317,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000031,4ab3a111-87bf-46bf-bb53-55dc34d51c84,promotion,2027-1,48,18,SrC,Consultant,TestOffice,SrC,AM,CAT18,0.317,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000032,868cb6fb-b31b-44bc-8144-bc87206a23e5,promotion,2027-1,48,18,SrC,Consultant,TestOffice,SrC,AM,CAT18,0.317,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000033,f6227f7b-644a-4a05-94e6-ce8c9d4ccf13,promotion,2027-1,48,18,SrC,Consultant,TestOffice,SrC,AM,CAT18,0.317,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000034,5878a994-08bb-4c1f-bebc-5c8024a4f6d8,promotion,2027-1,48,18,SrC,Consultant,TestOffice,SrC,AM,CAT18,0.317,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000035,cbf9c3a0-d08e-49a1-9466-4862a3f8426b,promotion,2027-1,48,18,SrC,Consultant,TestOffice,SrC,AM,CAT18,0.317,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000036,89455ce0-e153-474d-b580-7de7921d5295,promotion,2027-1,48,48,M,Consultant,TestOffice,M,SrM,CAT48,0.07,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000037,c15dc160-1a8b-401c-814d-29cd475d5282,promotion,2027-7,54,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000038,ba9497e5-3dd7-4472-acee-79e2011d372b,promotion,2027-7,54,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000039,6f238eca-66b1-4764-934a-2c295f6e489f,promotion,2027-7,54,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
4c84d598-c7b0-4ddb-b2ea-1403a5380d1d_000040,c1d1926a-eb0a-403d-8755-8d9cfcc2ce0e,promotion,2027-7,54,18,SrC,Consultant,TestOffice,SrC,AM,CAT18,0.317,,
