event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000001,27c25d66-5ef6-4e14-9ef2-56afa36c6669,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000002,089c7fa4-c2e2-453e-8766-03442039d875,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000003,1246ee80-3727-4a11-9f41-44ad0b3a806c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000004,bfa3abc1-abf9-4d30-a8f7-8b4e0ad0584d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000005,a505d732-efae-43e9-9507-be7e0a0766e2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000006,f77dc260-a50e-4081-8aab-e58e473b730c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000007,076481ff-830e-4d3a-afbf-9e1030b7e437,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000008,c4840340-b37d-4352-a36b-b2b97a1c86db,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000009,80c9dd4c-d568-443c-89ea-34d6dd60a4bd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000010,86d0ffce-5a75-4560-be1a-31b5ede34485,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000011,ab1ab18d-e44a-4229-86a8-c3cb05172cb9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000012,7bb79366-5000-49eb-845c-a3007acd751a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000013,f3e22f2c-8805-4274-a85f-c0c6df71fbd6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000014,d3e71ae0-ddf3-4b4c-adc4-77c6509704de,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000015,d4706ce1-accb-4257-998d-bc787d43dd5a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000016,a417e872-ddb1-41c7-ad35-75b38ea0063e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000017,5457858a-b425-41b2-882e-80dfa92d458c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000018,9c0ee53a-5ef0-48da-b6ab-0e3f37458bec,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000019,99d9933d-cba9-4cb6-bee5-bb363741d55e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000020,aaf3fc03-d5d8-470e-8f2d-6fdcd10e0fd6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000021,b253fc20-7643-4b38-9640-1bccd6b05153,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000022,99fc1dfd-c22e-4845-aa0f-762005cd0b60,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000023,d654e85a-c070-495f-9e1c-70f70cfb4640,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000024,760180e5-95f8-4691-8a8e-df48bb1e9fca,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000025,cde85a69-a4cc-4c18-909e-51ccce5ccb27,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000026,2aaada2d-8ab8-4162-bde3-39f1530b2e25,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000027,d34470fa-6a2d-450a-8302-c6bb8b50a819,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000028,d94e3bec-0bab-483f-a672-14d6d2d960cf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000029,d10ccdef-2242-4f78-bd0b-2bf99fb20f33,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000030,c6ebcb7b-ce92-43d1-b9f9-1012660f3aa7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000031,bc6b96c4-9391-443d-8430-51d8226981fe,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000032,1e0c00f3-d70c-4e90-81cc-fd650640a23f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000033,564aa521-fa7b-4d69-9d0f-ca59ca5c651e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000034,83410eb1-4d89-4662-94e3-daf2c58faea2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000035,4f1f3918-45ce-45a2-85ee-e84083efcef5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000036,c5cc4c4e-5028-49b6-a693-b1cafca37dae,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000037,cd1acb2a-8bf7-4c48-9247-fa08dd66e8ed,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000038,ce7cc84f-cb99-4e10-925f-4b19ff658572,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000039,69682ef0-0c6b-4630-afea-c539f823ca2a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000040,34dbbd21-b6f3-4fbe-bd56-4bfeeac95274,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000041,edaf4490-82a2-4cc3-9e40-389e956beaf6,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000042,1e1bc442-f012-46de-8fa6-1d2a3f622689,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000043,e5d9aaee-c2a0-455a-b74c-259d2481370a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000044,711bc52c-fddb-4856-9ba9-ac5e9ffda1a4,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000045,3e1ecca7-398e-425b-b961-2e39a7f2e3ee,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000046,c1822fb2-21ee-41f2-83c8-e01c02052890,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000047,a0ab291b-ab17-4894-bef3-7b65eebef43d,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000048,1547de2f-08ba-4634-8869-db5937118bd5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000049,2232e8a6-4dd8-4bdd-85df-3c1c64d1fa93,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000050,8f6e8d5d-06d0-492d-bf5a-4dcc9532f089,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000051,2f2b93ca-da19-4db2-836f-835e96a72428,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000052,4fa6e551-bab7-4433-be48-b02b23ddd8e7,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000053,6fc78030-950b-4423-887a-92f5ad906819,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
4f9b3ebf-7e84-460d-b79d-4a127608ea78_000054,9512dcbe-a7f0-48f7-961b-4039531b9844,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
