event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
4fa407a7-2887-4cd3-8808-4190e6ef5399_000001,2aef8737-1f50-432f-b401-c1c583d9db2c,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000002,62387fbc-ee42-4ab5-8f93-de3386029ab7,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000003,585fd40b-faa9-4155-b8d6-1c2bd3eb572b,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000004,b04a1464-453a-4561-bac8-4d138403ef55,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000005,b532bd32-0b59-4b33-8be8-95864fab94e4,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000006,7a27d222-cd97-425c-806d-fe3cf3b1a913,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000007,09014546-fab6-425a-a4d4-abb268f51874,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000008,33da299b-0538-4534-8081-15bc73dfaf6a,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000009,185bf37f-2030-47e6-8ea9-97e9149cf603,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000010,62bc967c-f63e-44e4-af91-02323df7a4f4,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000011,455881d8-c0de-4f37-a883-322008a23eeb,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000012,f08bb0d0-0e2f-422c-872c-dd523c82c77f,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000013,bef4329c-0936-4e2e-9fa1-8c82a0e1bbcd,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000014,bc5b1c21-d3b8-41f7-8a4e-bb6bbb5d294a,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000015,994cc9ab-7a3e-4078-8a7c-e5a92ff647e6,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000016,4f665e47-9d69-4193-a162-e9b8d9cc0c31,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000017,035e7402-ca71-4100-97a1-ad467d19843a,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000018,efc4b6b0-d8ec-459c-870c-3389e53109fb,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000019,b0586045-4bb0-45e5-a3f6-ebac4f67a6db,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000020,ad1b0367-b2b5-4fb9-8c98-f0567718037e,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000021,cff6a47b-0263-450f-81bf-2bb086b30cfd,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000022,c7c52ee4-0ad8-4fa3-8557-aeebb83f1ddd,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000023,03ac5343-88d4-44a2-8b56-4e86c8c3e770,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000024,cb6a16bb-538e-4e8d-9a5d-9e2039a30223,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000025,17d486ec-cab4-4e98-8291-def5aac0975b,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000026,b11d114d-ce7a-4e35-9d4b-6575f9642319,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000027,32ce7658-3e36-49cc-8dd6-9b6ba70be407,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
4fa407a7-2887-4cd3-8808-4190e6ef5399_000028,9a63b79f-06ac-464e-bc2a-fc290bedd75a,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
