event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
51fc9fbb-213d-404a-99ca-14a01f8110dd_000001,e03bf76e-803d-42f0-b4b5-5579ed973986,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000002,95af767a-2f92-44f7-8564-b6211c985e2d,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000003,65626a83-2b6d-4a0f-9c0b-ac9565369da4,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000004,55e6116f-16c0-4db3-a405-6e4c34d2f4f0,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000005,461b2c39-e6c7-4365-8c8b-1d283d8a4790,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000006,69c3759f-2a70-4c68-b483-f71972806f36,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000007,3b93c95b-3cdf-461d-a437-9ebc3c2b1198,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000008,a5c0657c-b90c-43b8-8402-5aa706197229,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000009,74bd3917-0d54-4452-a6a6-0326e4b5977d,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000010,0edda6e2-3151-4cfc-9917-5204e030a808,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000011,6fce0940-8f08-41f1-944c-bfbc521b67d0,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000012,fb203e1d-c4ea-4e08-9c0c-7009713fcb16,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000013,bf417b9e-02f7-41f8-9901-218566909a7d,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000014,0ce7aa25-ad6f-4b1b-a9a9-73812220dc13,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000015,471e8aeb-3a0c-4303-bb0a-422095ceb248,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000016,9c69899a-362c-47c6-b905-f19388280ee0,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000017,d352fcca-3925-488a-87ff-cd4b94d9aed2,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000018,74ea7743-6d18-4ab6-8c0b-66134184583e,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000019,a180ff53-4b11-485c-b401-b0545a7bd392,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000020,dd8028d8-f8fb-4ad6-a9a5-d80f230135c9,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000021,6642676b-637f-4f70-ad20-75fcac8a2567,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000022,07662c6d-f240-49fc-8551-1695db7fde52,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000023,9bd2933d-208e-48aa-b582-848f1008b73d,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000024,ba404fe9-ae47-4168-81e2-2d286eb69130,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000025,68b70070-ae41-4537-af0a-f0cabf2b80d3,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000026,cc91b42f-f0ba-47db-be5d-7aecea86e284,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000027,6548c0ee-eb5b-430b-b190-62995c009770,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000028,71703883-5f33-4c55-b9b1-c90a29086322,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000029,a8deea37-6dbd-419d-9010-bcaf31da1bf1,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000030,e1bfaa1d-b868-420d-aadb-5b09384095cf,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000031,3e1e032f-d2ba-4627-a167-c6fe44864c1b,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000032,27434f14-b835-4d4c-9df2-4332e28ba02e,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000033,19738cb5-be68-4298-b69a-477bfdd090e8,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000034,815c4a72-1eea-4673-b0b0-643fcaba3bab,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000035,1535b207-6a93-49c4-b402-1f6ad2644fbe,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000036,0d37fb24-4e2f-4599-95b5-ad80e17f2202,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000037,ea595834-ed71-4175-b09a-91545338e547,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000038,fcf77b95-e80e-4757-859f-8ff24462ed69,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000039,1231753e-ff47-48d3-8918-14a7b5b970ee,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000040,086fbdc1-bcda-4a43-b9a9-4c4459bab2a0,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000041,5f041b56-95b1-4986-bf3d-5adcb16bb590,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000042,91d1e589-4cec-402a-85c9-c32f4019afe2,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000043,00877a65-5e8f-4a91-b4c2-c651e935e2d5,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000044,d1725aca-dc1f-4631-a93f-e3a6cab8b0d6,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
51fc9fbb-213d-404a-99ca-14a01f8110dd_000045,666a85c9-9ff9-4ea5-9936-616d9aafd227,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
