event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
524796a7-afd2-40ef-820b-563bda3e368c_000001,802e8cad-6986-40a1-b2d1-77c3c4dfef66,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
524796a7-afd2-40ef-820b-563bda3e368c_000002,3669558d-ad20-4b41-abf9-a4f4ae78d851,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
524796a7-afd2-40ef-820b-563bda3e368c_000003,cf915c40-7ec2-4f91-966f-222fccb7068a,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
524796a7-afd2-40ef-820b-563bda3e368c_000004,1bc462bf-ab0c-4622-a10f-49128713832d,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
524796a7-afd2-40ef-820b-563bda3e368c_000005,27f60974-d119-4140-8b66-68903d23bcf9,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
524796a7-afd2-40ef-820b-563bda3e368c_000006,6bbbe8f6-e2e4-4a59-b8a1-49efcb8776ba,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
524796a7-afd2-40ef-820b-563bda3e368c_000007,4e0b4e4a-c10a-4f0a-b95a-e320f5578e6b,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
524796a7-afd2-40ef-820b-563bda3e368c_000008,4c285102-2c87-4835-8014-fd37839b5529,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
524796a7-afd2-40ef-820b-563bda3e368c_000009,bcd32ab9-0997-408f-9676-36e5f57eabcf,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
524796a7-afd2-40ef-820b-563bda3e368c_000010,35b51616-433a-47b6-8aed-5cc1d6258fda,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
524796a7-afd2-40ef-820b-563bda3e368c_000011,4d161248-336d-4bcc-9614-23e8b73b9a13,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
524796a7-afd2-40ef-820b-563bda3e368c_000012,07a9cf7d-9ff8-49bc-bbe4-bd8769a241d6,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
524796a7-afd2-40ef-820b-563bda3e368c_000013,6d1e9050-6ae5-4343-8bb9-db79b0281e1c,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
524796a7-afd2-40ef-820b-563bda3e368c_000014,4064e1e0-97af-4205-b619-4925445c64ba,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
