event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000001,6922c219-1599-493a-9ed4-7eecb3ce4e76,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000002,02ca02e5-c320-485a-976c-f800f20bfbce,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000003,cf6d2b30-1a25-4ae2-a15c-e90e6aa6e68f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000004,60ec04ce-39e4-408c-bf5a-a64aed31bad8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000005,d08b7145-f011-49f5-a951-8b2c1ce44d23,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000006,f74f58c0-a59d-4ed8-9d54-7173ea9de89f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000007,c0f8e639-2ad2-4139-a788-82b91a8528ce,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000008,1ccaa779-2859-45fc-83d0-d328d52ff639,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000009,e2e0755b-7950-4923-9b6d-2a7ccf9b5c07,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000010,3350de1e-65d1-452c-a3c3-2f07e6f5e2cb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000011,a36fe87a-1c99-4f1a-988f-54dd0e51ebd0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000012,fed2e30c-9b1d-40ce-9c31-f0821dd06d9b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000013,52273973-b428-4d62-80fe-4b75356126a2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000014,7c0d9334-b85f-429f-b777-d5c21c8f41b4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000015,c9475ccc-5b33-4aec-a925-9c500690392d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000016,c532ebac-c799-4f6e-ad6f-2a31b39971f8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000017,9a9427e9-90f4-422d-8ed2-187371c2273f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000018,9b38dac3-82dd-48f5-b8d1-b0ef108205df,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000019,cbe5fa5a-b86c-4173-b75f-b8a414c1a2fa,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000020,fab4017f-81d3-4e46-9f06-1ee5fb0b8279,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000021,4a700d0c-8de8-4bca-9869-8477b5da22b6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000022,f946f680-7ebb-48ff-882f-8879868b34e8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000023,984dbe96-d8c5-4299-b1e0-bc0fda2884d1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000024,e8958c30-f8c8-4d38-80f3-c92f41153d28,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000025,adaf8d5e-84e3-412e-9247-0af10af27df5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000026,3410c626-7860-4bc1-b271-4a1cbd0ef390,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000027,3bcd9624-a207-410b-9b59-d4f7fb3875f3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000028,0831c9f6-325a-4acd-87d4-e93af0757763,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000029,b461a323-130e-4f7a-8898-2a21d58fca0d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000030,ca74d564-e37b-4783-a545-5778edd0dd5d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000031,731dc704-8787-49b6-8875-dad5b2abb3e0,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
525a4392-ce9b-4ac5-881e-89b7e3ac21c0_000032,1b4a6bb1-9e29-4ec5-b147-d54c77b8a76b,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
