event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
535c53a2-76fb-415c-ac37-553f0e3d2868_000001,f697c378-7a3c-4a60-b93f-8f8aad4a7cbe,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000002,f64fe0ed-4485-4e69-9c50-55b925557891,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000003,49c4c2ce-99a9-44f9-a927-f20ed1d21dae,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000004,906faae5-4c65-4ff8-bdde-6480d5cdf467,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000005,8d79cc55-af8e-40f7-91a1-bcaa681347b5,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000006,7dca0419-9231-4bb1-aa1c-04fdf0d328e8,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000007,5744d8f1-8839-4512-95c8-e800b403a9ee,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000008,69584d9d-e03f-4f84-bfdc-52e6ef777414,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000009,a3b8ba69-f450-47ad-b1cf-63723693198c,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000010,dbec8fe4-3407-4637-b1e9-dc78a8f8bcd0,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000011,72c25774-8bc9-4a83-9e42-8d2e620fb7f6,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000012,977a09f7-f07d-4b1b-82e5-ef3f488fb14b,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000013,a36d97fe-8973-4dd9-899e-46616a4d7fd9,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000014,c1fbbc65-5642-499b-8cd9-b5346e02c612,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000015,af27024f-034c-48c1-93c9-8660e67e5a7b,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000016,eb30c334-69dc-4a21-880a-7e5e2c987208,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000017,688943a9-c5c0-4e74-b921-a126c2f078af,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000018,914d3fc5-b667-41eb-a7ee-577bb5327e8c,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000019,4df2a405-e431-47ac-ab32-cb3da80c4a60,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000020,35702959-7168-4fc3-8604-cdaab428cd16,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000021,fad576ee-ac52-4cc9-aac8-beee4cb2850d,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000022,5636eaba-1f96-428d-bc30-555c75f9b949,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
535c53a2-76fb-415c-ac37-553f0e3d2868_000023,c6754a94-ea3e-4def-ada2-73d0793c4a38,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
