event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000001,8828c4c4-c351-4729-a8c8-0ab3f3cd4318,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000002,4069dcad-b709-428b-bdc5-d4f89ba113fa,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000003,e89ddac1-2918-4791-a0c7-69a46da0cef0,promotion,2024-1,81,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000004,e6e8f028-db48-40bf-9747-a46ee12a9afc,promotion,2024-1,84,34,AM,Consultant,Berlin,AM,M,CAT30,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000005,d7134bd1-4781-4253-b79a-ab93d9b97a3b,promotion,2024-1,128,31,M,Consultant,Copenhagen,M,SrM,CAT30,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000006,422b4007-34d1-4424-a36c-12e6e423328b,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000007,3b05e43e-8a99-4433-bf78-e68153f235ff,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000008,3142d693-56e7-44ca-8fe8-db543d0e7912,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000009,caa00f5c-88c7-483f-8399-5839c2f0d47a,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000010,c5bf98e3-fc19-4d26-a6a3-b6b2aca36e2f,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000011,8111e819-cc1d-4a49-acef-0cebf9313203,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000012,2034ee85-8ef1-44b4-beef-d81bfd5175ae,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000013,50b95b19-1185-4d0f-8d6c-6a0bdcc89e07,recruitment,2025-01,4,3,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000014,96b589d4-226a-4c29-817e-057749bf1e27,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000015,dfd5dd57-b0fd-446a-80a8-397664de167d,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000016,45d51b9c-bb46-4860-93f0-d74dc81e1610,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000017,0652d06f-f84f-4001-b6dd-6cc420b0a9fb,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000018,ab20f665-19f9-411b-867e-d66904a80920,recruitment,2025-01,4,1,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000019,15d9c050-9cb7-4e6e-997f-4188b7a5a5a1,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000020,93169ebd-261b-413c-a12d-4bddc29fc5b7,recruitment,2025-01,5,4,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000021,81e64185-a319-40ce-adcc-352c3c078e52,recruitment,2025-01,3,1,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000022,1718ec9b-e59f-488a-85b4-96db5dda69f1,recruitment,2025-01,3,3,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000023,162faa09-3f0b-458b-8263-1b7f29f291e5,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000024,7467fea3-e6f2-42f5-95f8-44c660bc75cf,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
53b29de7-4a4f-452d-b9c8-fa565e3a53cb_000025,00fb05b7-ad5b-46aa-a070-c0f7e917b54f,recruitment,2025-01,6,6,A,Consultant,Stockholm,,,,,,
