event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000001,2b764b0b-8c4f-4267-bfd9-84189655ad73,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000002,31bdcebf-4447-4d82-a085-f711751ec52d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000003,3ec281e6-2619-4b75-9446-b5c6abdff45e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000004,7c323d9b-a83b-4ce5-a1a6-46cec699c076,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000005,682d8d67-f6d3-40e3-aa08-7fec3365667e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000006,383d9526-95ad-4c97-b965-064e7cdd907b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000007,7680b02b-b2d8-4b95-b46e-e88d0766e166,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000008,c4648559-a846-42ec-811a-6f5bb46bae45,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000009,fbec244b-6180-452b-b503-09ffe34f439d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000010,8e9fcb88-c7b3-40b3-9888-4cc2e464a907,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000011,818da1f1-318d-4931-9f8c-7a1b8f230937,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000012,6f434acf-924b-49b9-8508-90bff3088132,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000013,927db12f-9ebf-41f2-90ef-a4ca4b3c7e8a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000014,66e976b0-f19f-4ffe-b456-27778fc2600f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000015,6f480b8f-b880-4b4d-b642-12cbda3b6366,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000016,6b87a4a9-c303-4884-aed2-8cb9c3bb456c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000017,33110723-81d2-4b09-9f73-f6ec41082ba8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000018,185e748d-818d-4494-baab-8cffa7eb8113,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000019,28b37a89-3fbf-4d82-b8b7-0e0d057e84de,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000020,f30cdb30-2c37-43e4-99c3-ef2e44ef0f2b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000021,2c4a2587-0e1f-45c6-908a-e057b6433e9a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000022,13e94e92-763c-4375-8ebe-f8dc93e7c0fe,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000023,e7150784-f1ba-42bb-bca9-a66712d95974,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000024,f6938561-c17c-485d-8a3a-8ba324bcc64d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000025,d3cc2f25-3569-4f45-8b90-b68dca0a549b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000026,bf2a84eb-4b99-437d-8b9b-cd54488d622c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000027,8918abcd-65ca-406d-aae9-41524d9d89fe,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000028,8a27ebe5-b08c-4f8b-93f5-5b507a453475,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000029,11860281-9924-4718-9d9e-2a2f2d2b4dfc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000030,99063a00-ccd0-4d03-97e9-2fdf9d149db5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000031,daba1a01-fe84-4ba5-b6ed-7dbe6d7dc228,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000032,e516052d-037b-422f-8778-0a0cc8800344,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000033,3791ac09-2e49-4a8a-baeb-c972370da6ef,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000034,f6fe57ad-9a63-447e-8a6b-f311e424b73c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000035,997421bf-a5dd-4db5-aeea-ef59e867ffc3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000036,595f5c28-c1f4-41bb-8362-e1606f58dcc8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000037,b06d969d-6501-4f42-98d1-646f9a9f3720,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000038,0e4a72a6-3ebf-40fe-8270-ca534e4344fe,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
53fbf21c-60fc-46cb-b45f-4b3284dfc857_000039,eb938c44-baaf-4be0-adff-41f2edb8e547,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
