event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000001,746a8272-d118-4c9b-8ac0-49f1947b07c9,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000002,b4dac7df-d3cb-443a-a447-5ae27511d312,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000003,f8716250-8089-4b09-8c4c-df9624755438,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000004,b0a3fc89-2454-4f8a-b429-8d9e18e95a4b,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000005,664abd10-e9d9-410e-ad64-4cb9bde68873,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000006,b0340ea9-99f4-49bb-b9ba-8edd024c729d,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000007,d537c2df-9954-484d-8c22-49726c737e3f,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000008,0f46fa52-1e06-4d42-9bc3-ebdef3be2314,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000009,5d875510-e9fc-43bb-9a92-a2ccf19fd9c0,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000010,451cf6b0-db3a-4d27-ad50-b7b8a9f6ee7e,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000011,54ec4454-2544-4ba3-9443-f07490057605,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000012,00b92433-4b2a-419b-af7e-e6845ffa7afa,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000013,94f1793b-592f-4024-ab6b-6f11bd70ec7f,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000014,5ffacc93-1e09-4bfe-ac0c-63e205afd5b9,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000015,78774283-6e60-4af2-a9a7-2a8754daa822,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000016,910a6f32-5bfc-40ef-9d17-c50e3dc1b825,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000017,c6d5ddc7-b04b-4681-b4b4-6abfb9ad10a3,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000018,40d263f8-2ec6-4639-98ba-18ae00df82cf,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000019,d489f8cf-869b-460e-ba48-c3b4f8d79d95,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000020,ebdcc63f-edc0-4a0b-885b-9832c345ad6a,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000021,0c6d9279-b3b1-4bf2-8320-78d3481a2495,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000022,af87125e-24d0-4641-a528-38d30a5be016,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000023,b91c8755-010d-4b79-ba48-6ed9f66ed2d6,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000024,10b14f76-2189-4a2f-894c-71fade725b90,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000025,845b4575-6ea0-475e-b98b-d839add96888,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000026,6bd2d15a-581c-473e-b35d-4d720d93c66d,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000027,c8f1ebb8-3a5b-4a06-84f0-638985154ee2,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000028,30868dfc-5343-44f7-842d-82f86d04b066,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000029,1077e620-0509-4b94-8665-06f198ea94a6,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000030,2832f352-55a3-45d8-a09f-bcd8a4e9449f,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000031,c5a34eb6-2949-461f-9faa-482e606581b9,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000032,5f10c8c3-fa98-4de2-9edf-02d4887c45af,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000033,68334024-8849-4ce8-bde8-8adb136fcb3e,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000034,44384c39-da39-467e-9361-a811355e7eac,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000035,618978e7-dca7-4e98-a291-5c3133ea3a67,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000036,3295c696-df5b-4cd3-8cdb-0b9fe47ac354,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000037,ffead72a-082a-47e8-82af-fd39e7117e20,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000038,5cc84b2a-fa57-406d-b5d5-f50ce9c5ee11,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000039,9dc94e71-c1f2-4cb2-ba1a-01178ddf9383,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000040,db6f1567-8b14-48e4-a6f0-598973bcce17,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000041,a47521ba-fe73-4010-9f57-d4adb7a12525,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000042,2589cbfd-4853-44a4-be50-d9b53b3611ef,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000043,72d0b094-6efa-4f3b-ad4d-537dc9136381,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000044,fe0c52d1-f3d1-41ec-880f-c4189935b132,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000045,30665cf2-42e8-493d-9a59-2666b649646a,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000046,c8171f77-8000-4ffb-b039-c2a19ee14cf1,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000047,1eda923a-71d6-4a3a-bc88-d2148cd33dd7,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000048,ce0d0665-c6ed-4da3-9496-de9ca1129ce8,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000049,8e023eee-89a0-4680-9ecd-f7ee8239812f,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000050,26677a9a-1587-445e-8dcd-2f07ab5592d3,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000051,627bb477-e3a1-4461-bf4d-4820db46187d,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000052,6a98791c-514d-4ce6-b4b3-e2f0ba03942d,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000053,e3a3b486-6140-4be2-a799-1f856cc8bc95,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000054,8c50e3f5-1e30-4506-9259-d454b4077319,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
549a5ba7-e212-4db8-9d61-6efe11f83ea0_000055,0f095ea0-ff18-490e-83a4-4a9d96524417,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
