event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000001,74a7f906-5b00-485a-8bee-23498527e665,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000002,f0103cdc-f39c-4094-bf4e-faf59622924c,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000003,ecc6d2d3-590d-4c41-a3af-62192db6f68e,promotion,2024-1,81,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000004,da3a4b2e-650c-4bdd-90f0-c583fa116031,promotion,2024-1,84,34,AM,Consultant,Berlin,AM,M,CAT30,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000005,ace67d74-2d18-475d-aa32-22809266df7d,promotion,2024-1,128,31,M,Consultant,Copenhagen,M,SrM,CAT30,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000006,3bcf4327-c7b0-4b40-9c75-25a76fd45dfa,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000007,d755eaf8-d961-4de0-83ed-172ce46888eb,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000008,d4a7f666-10d8-4a7a-b4f3-5a94188e2b87,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000009,6fa18d59-6f1c-401a-b27a-e5e187438371,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000010,a20dc130-9a08-4c43-af9a-0c0c04ceb2dd,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000011,b704a805-32b1-4963-ba0f-e258ab7d5192,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000012,923172fd-0f8d-4ba4-bd33-b4e68710840b,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000013,8a20a840-893b-4c80-a25f-cbf3e7fc8af0,recruitment,2025-01,4,3,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000014,02679f12-d675-4cd6-ac68-8b1f75b533e9,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000015,dc2074b2-3796-4b65-86ae-460f695c6c84,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000016,1b932569-eb7b-4d4f-8a4e-caffcdd6e13b,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000017,9bebd536-088f-4613-ae79-4420ec1a6b0e,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000018,c552911d-d3c8-4d9d-8471-cb123fd26941,recruitment,2025-01,4,1,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000019,184779f8-5439-41c6-b189-214374514073,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000020,e7c8701a-27f3-42b7-bc19-0630ad885637,recruitment,2025-01,5,4,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000021,fb85900c-3fd7-48a2-b19b-b271ca85fbc9,recruitment,2025-01,3,1,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000022,6ccb166b-adb0-4982-912d-1433bd93df70,recruitment,2025-01,3,3,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000023,0f6cbcc8-cdc3-42a6-8451-a17794d3ead5,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000024,80e83231-5992-41ae-bdf9-a7f1f082809f,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000025,526a7949-bbf2-431d-983d-8eb0ca71ae71,recruitment,2025-01,6,6,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000026,37ead8a8-ee1d-497b-baeb-e0203e6b38a7,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000027,a3a82631-98c6-4563-9716-212f15ef914c,recruitment,2025-01,3,2,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000028,7d1236e3-8c85-4ac0-8b36-3cf2a719fcaa,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000029,eaf39893-8ff9-446b-876f-b2db95fa0be7,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000030,324e993c-9efd-451f-b02b-792658cc328f,recruitment,2025-01,2,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000031,11e285b7-70e3-4cac-be62-15e4e0038297,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000032,c734a966-c629-4021-8279-fb0b453fd716,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000033,0bf7aee8-149d-4073-a69a-abf8846b71c2,recruitment,2025-01,6,2,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000034,1cbe5839-77ef-4e6e-8f60-0002dc0200e2,recruitment,2025-01,4,2,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000035,3fb6e9d5-bfcb-4d68-bc2f-d3cadf01d4cd,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000036,6fd6c53a-e72a-404f-87fb-de08aec67612,recruitment,2025-01,5,3,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000037,ee1e1f5b-ac22-48e7-a887-3aa483094ca9,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000038,ff996718-14e9-404a-a25f-7a403914d5d3,recruitment,2025-01,3,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000039,bc6d1fbb-942a-4f8c-9a3d-c70e042a0afe,recruitment,2025-01,4,2,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000040,a3f096a5-f2aa-477a-acc2-d4743fe0f834,recruitment,2025-01,6,5,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000041,f3ae783a-28be-4b78-b96f-b248c8898022,recruitment,2025-01,4,4,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000042,0badb072-44c9-48e1-8fcb-b83d70a53553,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000043,5c939632-6d46-4407-96b1-ea08cd9f20a9,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000044,82408e0f-01fc-423b-aef7-8be032211382,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
54c491a6-fcb8-4f86-8fd0-0a75f7fd9ee5_000045,4779e72e-9e05-4eed-8ed1-bc3f000340d0,recruitment,2025-01,5,1,A,Consultant,Stockholm,,,,,,
