event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
5544d1bd-f8da-4340-972d-91432f212315_000001,a36b44ae-8d65-421c-88fd-b51dc992bbbb,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
5544d1bd-f8da-4340-972d-91432f212315_000002,c7a32b43-9027-4958-a890-b8a3ea072369,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
5544d1bd-f8da-4340-972d-91432f212315_000003,ba14edc2-8e08-49ca-b4e0-890292f31aaf,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
5544d1bd-f8da-4340-972d-91432f212315_000004,288ed064-3aaf-4b67-8ddf-d3c0ba42ab35,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
5544d1bd-f8da-4340-972d-91432f212315_000005,a344ba57-5a4a-456d-95b9-90110e6a4d20,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000006,6f6769a1-4b39-4b26-8027-294a95028692,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000007,57d7073f-0284-4a77-aa52-6bf9426a13ba,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000008,eb720923-9b12-4c59-bb5a-7858e9463df5,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000009,a2c87830-13fa-4391-836e-cbf715fa206e,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000010,61caf110-ece7-4d11-aa72-b18d2eef16fe,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000011,ec608119-673c-4313-82db-2f9adba0439b,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000012,521fd299-4e3a-4907-bedd-b28e159e5bcf,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000013,39a4fca2-7f0b-4b1d-909f-4d3b7d8ff1f2,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000014,2ede14e5-b7a4-4b14-9ee1-40603a634faf,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000015,48de547e-24c6-4db4-9b6e-e239d6d7dd0c,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000016,5215a336-7619-4878-8204-05f70759dfc8,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000017,be4e2f7e-fdc9-4a2b-a202-c1b7fea956ac,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000018,59eddd51-c4c1-488d-886c-df126fba927d,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000019,cf80bc54-66f1-4fd6-a220-da2d3070c480,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
5544d1bd-f8da-4340-972d-91432f212315_000020,ae37d184-d3a9-4cd2-aa9d-410bb5fadf33,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
5544d1bd-f8da-4340-972d-91432f212315_000021,1b346ef2-b660-4011-ba85-cd9ea0c01daa,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
5544d1bd-f8da-4340-972d-91432f212315_000022,82497ce0-443b-467a-845e-62066fc16efc,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
5544d1bd-f8da-4340-972d-91432f212315_000023,4d5bcd39-8e78-4143-888a-73b9cf3c9d95,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000024,0673930d-821d-4329-9f3d-53b1c5ec8803,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
5544d1bd-f8da-4340-972d-91432f212315_000025,b9b9a00e-18c5-42e0-b171-2912e2d8298a,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
