event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
56e609f0-0b10-4711-955a-e0c6fbc3f736_000001,a7ea9f70-e11f-46b4-ab00-1f642c503033,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000002,1360a58f-29b6-457c-8cd1-928a127b204f,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000003,4bf1a4ba-2a8f-476a-a2c5-92b3a2c60a0f,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000004,dbd07a69-dd94-40e2-b465-cfbcdf42e5ed,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000005,cfeb391a-44ba-40f2-b9d3-a0efc1d30290,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000006,bd4209bd-6445-4950-a7b2-caede4e7738c,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000007,810c25b9-e82b-4ba4-b071-743c1be2e158,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000008,2e9f5f0e-9f47-4899-a207-cff42f9888cf,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000009,131368e9-c3f2-4b49-81d1-50df45399387,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000010,7777e737-bbc2-4559-9bb5-48e6fb8aba25,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000011,cf36f16e-7cf5-4aa4-93d9-dcb37854ce24,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000012,83336519-7819-4249-92c1-104ddb68a22f,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000013,e545e981-7d5c-4c8f-9737-1bdade80fca5,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000014,f462accb-82f5-4c48-b860-34d8d5bb319d,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000015,ef6b3d99-5672-47e6-94b5-7df71ed9272f,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000016,6b08d9a1-f980-463e-96a6-b7d007ff896b,promotion,2025-1,29,14,C,Consultant,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000017,376b8573-ceac-4b46-9b92-f1fb1571eaec,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000018,8db520fd-359e-43b5-9bd2-3e6f7a452b5c,promotion,2025-1,30,12,C,Recruitment,Stockholm,C,M,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000019,f885e984-b1ee-4681-9dbf-5e0eafae47f8,promotion,2025-1,87,35,AM,Sales,Stockholm,AM,C,CAT30,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000020,02f890fc-e0dd-4ab9-88ac-5cdd9329cdb9,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,0.0198,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000021,50ee41e7-6539-4fa9-a40b-e8ee9c609bfe,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000022,fedb5389-fe89-4d0c-9294-4c89bb2a10b4,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000023,0065d276-5046-4731-a36d-0802e5fd34cd,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000024,f55327b1-a670-4ffb-a4f5-ebe16323df5e,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000025,241c0f84-ddaf-41e4-8020-e45e47a7714c,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000026,66f67bb7-3670-473a-908d-f8e57a4e7241,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000027,809c333b-d3cb-47c7-9c4f-3112610ffd20,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000028,2e0a8288-c411-4646-9f87-97eca768a247,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000029,4058eb18-e525-479c-bd32-03fcb0e2291b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000030,ea55330d-6d22-4df7-be93-7b08f901c0d4,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000031,67695316-3c90-4df2-8cd5-c226aed75da1,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
56e609f0-0b10-4711-955a-e0c6fbc3f736_000032,45d93543-7084-4ada-8667-9a5485f33f53,churn,2025-1,8,2,AC,Consultant,Stockholm,,,,,0.0265,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000033,db58b806-4ee9-44ed-b938-bbebae2f23f0,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.053
56e609f0-0b10-4711-955a-e0c6fbc3f736_000034,bbfcf6c3-7a9a-4baa-8934-6de0bf0ac0b5,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.053
56e609f0-0b10-4711-955a-e0c6fbc3f736_000035,e74e92f0-c74c-45db-a9cc-f91faaf86c72,churn,2025-1,84,13,AM,Consultant,Stockholm,,,,,0.014,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000036,5decb0a0-78ae-4c3f-a7b8-f4e1a2aa795e,churn,2025-1,79,20,AM,Consultant,Stockholm,,,,,0.014,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000037,a937a205-e005-4b48-a7e7-02c0e74a3bf2,churn,2025-1,33,12,C,Consultant,Stockholm,,,,,0.023,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000038,f565ff1f-411e-4857-80a6-d93f53bfc471,churn,2025-1,15,0,C,Consultant,Stockholm,,,,,0.023,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000039,8842f668-1118-4371-b728-c2325c235e56,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.0129
56e609f0-0b10-4711-955a-e0c6fbc3f736_000040,5e0a9d29-dfd7-42d1-a470-16f329163c2f,churn,2025-1,45,4,SrC,Consultant,Stockholm,,,,,0.0172,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000041,413d0f94-1837-4fb1-aa9f-80a12361288f,churn,2025-1,51,9,SrC,Consultant,Stockholm,,,,,0.0172,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000042,2ab67aed-5915-4ad8-a7f4-2d9eaf5a4533,promotion,2025-1,32,17,C,Consultant,Munich,C,SrC,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000043,0df85aab-7a4b-4487-b004-3dded33991e3,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000044,62426dfa-2a91-40cc-b5c1-c0a5edb54432,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000045,f167a5f5-edcb-4356-9210-0e29aa6106c5,promotion,2025-1,31,14,C,Consultant,Munich,C,SrC,CAT12,,,
56e609f0-0b10-4711-955a-e0c6fbc3f736_000046,915ec1d2-edcc-45b8-8abd-95b54c33f592,promotion,2025-1,93,34,AM,Consultant,Munich,AM,M,CAT30,,,
