event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
57adfa8f-290a-46d6-8dd0-b978b495debc_000001,e61b3b4b-6d05-4f45-9ae1-6ea85e4c070a,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000002,6f42cabe-1ad3-4839-9038-2a45d5c29678,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000003,6995fa32-aa36-4188-b829-c9ac8d9b9100,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000004,7ba45987-a1a4-43c9-9a7c-32d21a84c5b8,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000005,05912fe5-fcc4-4825-a873-cb5adcbbdfe0,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000006,6b8b965f-5353-4452-b3cb-524389647a18,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000007,06c088a4-1ceb-4dc4-b57b-46a82e38534f,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000008,2a3435b9-fa29-40ca-af5d-9bfcc8bab18b,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000009,a31d0f9c-d44b-47ff-ada0-11bded880fd1,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000010,53b1453c-41ad-4962-9c0a-8210c905108b,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000011,109061c0-27d6-4f67-9c3b-3532ca41d96f,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000012,d45aa092-7d59-4e85-8994-c36384095641,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000013,c819a88f-95e6-4638-a412-456961c5f470,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000014,ab56e28c-1a47-4237-8d0a-5b77a0ad9e8f,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000015,eb5090d2-0972-4c83-bac1-3741efb8a501,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000016,522538e6-c682-41c4-81f8-2651cc15d6fa,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000017,14dea727-ff24-4cd5-9cd4-882ddc771d46,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000018,28db5f7f-3f5b-4070-b26f-4ee43e7886ac,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000019,95f0787e-7246-485e-9648-384c0cb1a939,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000020,46852be6-8151-4f9e-9551-8bb2edc74eb2,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000021,52c635b1-ab75-47ac-bc76-11a2c98ef2bf,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000022,8ee265d5-f055-4fd4-a181-4bceaf826bb7,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000023,d4cf9f1f-58b1-43f2-8487-8a3160b16b33,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000024,5f770586-10ef-45fe-8483-cb4d8c11cb09,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000025,fbb8a71b-9b31-4004-900b-9faed093dd31,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000026,24d709d5-0286-4b67-b564-215ddea55f4c,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000027,7a98bef9-9198-4eee-9ffe-5f0db52879f1,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000028,8e894612-81ba-4f5c-ba55-7cfe476f0c87,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000029,724a5dab-1131-462d-b194-668e8e77808d,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000030,b629f2e4-82c8-41b0-b130-3f3dbceff4a7,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000031,7baef902-f259-49da-88b0-5b4bec636435,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000032,df08b039-40c2-40b5-9ce5-93167e79dcdd,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000033,3d23f273-cb52-4a7c-8acb-4d2ce06c38ce,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000034,ac8e39b2-cf4c-4178-827b-ec7d80b156e5,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000035,5a1aedb4-4289-4619-819d-9b0a488e3224,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000036,a81c9c23-9188-4a0a-9ffc-d7332eedbd44,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000037,fba5de8e-7160-4e00-ba79-334803b99b37,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000038,d64b4291-8be4-4b64-84b8-357500961cf5,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000039,9252f8f5-e9e6-475d-98c8-15a40589d6c3,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000040,517ec477-9aa5-42d1-ab9c-1c64174ba6b4,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000041,e37d501f-7752-4205-ad5b-bc29458edb0e,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000042,de633b38-1b78-4b7a-84d7-3024ecacd646,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000043,71ab0645-7ee0-4f87-ad87-5a51f3027684,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000044,3b0bb014-6c2b-4231-bb72-83e6ff687500,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000045,02d385b6-de5c-4643-9588-ee2914e3fc85,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000046,8846eefb-4216-4b3e-9174-c9fb1aeabbf5,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000047,0dfbde36-ccbc-4b88-95ae-c70deef2a75d,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000048,ee82e61b-1f9f-4f14-89f7-e02334eee9b1,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000049,97751a8f-7d58-4245-8e47-17a2c625b4ff,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000050,fd9db8f7-797f-415c-89b7-8065b7cc5a4f,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000051,c9b31df7-bdd3-4c75-bc63-3055bd949f21,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000052,8b6be676-3921-4e84-a67c-52dc7122ca97,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000053,d2f7b94d-0720-49eb-b900-2c4bbe585afd,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000054,662be045-0138-4f27-b514-4bdf315396b1,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000055,df6838ec-6639-419e-9f0b-38e09fc1383a,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000056,f29e24f8-6722-4543-9913-6524bc2ba7ca,promotion,2025-4,7,6,A,Consultant,Hamburg,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000057,dbc25be1-df82-4f48-9b60-6a10e0576880,promotion,2025-4,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
57adfa8f-290a-46d6-8dd0-b978b495debc_000058,f8473756-03e2-4a64-be3b-b02dbb138f01,promotion,2025-4,9,9,A,Sales,Hamburg,A,AC,CAT6,,,
