event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000001,9adefa78-b373-47cb-affd-eafccbf81160,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000002,05defd4a-8050-4b46-8525-be1a75856614,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000003,6d800bef-f3b1-47e8-a169-f050025d2e3e,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000004,c3107135-cefc-4cbc-987b-638e37ed4ee5,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000005,69fc4349-f368-486a-94ac-df440c454298,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000006,ce80e8f6-430c-4341-ae44-8385995bf259,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000007,7b571cca-a014-4597-ba3d-395c5ff565e4,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000008,4bb24002-4ea0-417a-9e9a-a0be0b30ca60,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000009,eb102480-90b7-4598-a683-48c91b9a140f,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000010,1cfe18a0-3536-4585-a8c0-bdceafe1eff5,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000011,046d48bc-fecf-46ff-b832-9fd6561d43e8,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000012,cc168ac5-5146-4789-b94b-5d78c8f2e547,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
57e34cf0-edda-4fcd-9e27-e1d57b55c775_000013,6c6fa37d-48b5-45cf-9498-235f06c13d84,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
