event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
5ad37941-8321-48b2-83eb-d19bf5f859b5_000001,aa3bb1e2-7fa6-43cc-b2e9-12bb1434debf,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000002,7a10c37e-6bee-4bb5-9b0f-6455d789459b,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000003,dbef6083-11c1-49d6-b357-c636f93a6731,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000004,a5fe61e2-8ae3-4c33-9cf8-a70b4bef4269,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000005,5c9760f2-2177-4efc-94c1-910630e4b5da,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000006,d49d7990-d345-4076-9c63-5172cb02533c,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000007,b239f414-8efe-4249-ac67-17613170d210,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000008,8f537d42-1781-440e-9281-7dba01f27d2f,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000009,f11a3a39-87e9-4311-a72f-1c625a7584bc,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000010,c6c7cb45-e6d7-4a62-b51a-e8f55c3e10c9,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000011,4d49a1a2-7450-4d18-960e-baa0319c4375,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000012,6f93fddb-7b07-476a-aa7a-28958e03f28c,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000013,0093951c-0635-4f28-9a28-5ed4ecdce919,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000014,7d4843b1-364a-4c5b-848b-d82d7a8ff93d,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000015,29409eab-a95d-40df-8c4a-48ccfcdca6e0,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000016,a26dc3fb-ebf5-4280-9cfe-47ba7ac676de,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000017,2a704e1b-527a-4ed6-bb30-fa6d15b29691,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000018,6e8b7eed-b95c-404e-89dc-4aa7b7b8726d,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000019,a7f8e2aa-6e9e-4e4e-acff-7e5e12350ea5,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000020,e7cc4b68-c740-4f1d-a089-8233a091b9ba,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000021,72d55492-0ad0-415e-9690-ab1db99d9edb,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000022,294ca245-2ad6-44cb-b6b9-331be24702e9,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000023,8b1f1367-4c1d-4efa-9b8e-f8ab9fb032b9,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000024,fb9b88ea-9ca8-4ab2-b91f-a8e85cd2e516,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000025,9ff899f6-4e74-46f5-ac8f-29d625812617,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000026,4ec795ee-f457-4033-a678-6e7e2ae3d562,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000027,5fda4399-a13f-4ff1-a49b-d80040e83f62,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000028,95c781d4-e333-450e-a8cd-9544b7af85bd,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000029,d4cb27f1-aea5-4e00-8352-c4dfe98a395f,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000030,436ad554-099d-48d7-83c5-31d60a116325,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000031,f5aa8590-a883-4c2d-94b9-34249e2a8b1f,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000032,aa827944-ac04-4625-a647-152ed83ece44,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000033,58a37204-49f7-4ded-8f90-aafa3c661730,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000034,d3b8dd18-153c-4da7-a0f2-962b0896009c,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000035,a4821c59-182b-4266-8b29-80cf601cff1d,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000036,ad17be2b-d865-4df4-a742-906dae17c9b8,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000037,95d74465-8aff-4617-af75-4e594f3953a3,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000038,48782ead-4645-47e3-886d-4c487c193d8f,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000039,77e4a6ee-2fea-47b7-b01b-e7a64089911f,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000040,f9a376ca-fd83-4823-ae22-5bb924d060ee,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000041,df83f710-8b96-40e9-98c0-6ef094e40a55,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000042,7f99a153-cac2-42a1-8fa3-1333809cb877,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000043,dd0d5d26-ae5d-44eb-a896-f762febb992f,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000044,1dff6a4d-3919-45f9-a98b-3958a17fce33,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000045,938802f3-306d-4f72-9aed-da550d3398ef,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000046,0d868d76-371c-4f15-af46-4958f60af372,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000047,efc48f13-af9a-483a-969e-04b2b46de0ff,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000048,5b659fa7-ca28-4e4b-b388-b90dea31bce8,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000049,253eedd9-01c6-421f-92ad-bdac01a75b72,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000050,60366b0f-065f-45e0-b24b-cf77c29d3bdd,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000051,c6138627-5ba6-4ee2-8698-47cc07d4930c,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000052,1fb7ef27-8465-48ee-ac8b-b4de9ae2230c,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000053,e7366f77-8009-4ffc-ae77-d57d149da21e,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000054,40d303a4-1e38-4b2e-b44b-f9e054b43951,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000055,91f71aff-d00a-4b4e-a467-ad112f9a6574,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000056,e65ddbaf-6e10-47cf-854f-2f8cfad9ba96,promotion,2025-4,7,6,A,Consultant,Hamburg,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000057,08b06df6-e8eb-4fa7-85f1-411c3d6ccfa9,promotion,2025-4,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000058,c1d47fe3-f78c-4d85-a292-a7f392197aeb,promotion,2025-4,9,9,A,Sales,Hamburg,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000059,3726663c-3f96-4059-9ead-06f78b1bd1e9,promotion,2025-4,8,8,A,Consultant,Helsinki,A,AC,CAT6,,,
5ad37941-8321-48b2-83eb-d19bf5f859b5_000060,51485e76-4e28-4185-b980-af697ba5911d,promotion,2025-4,7,6,A,Consultant,Helsinki,A,AC,CAT6,,,
