event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
603215ff-05bf-4672-a00f-1acc6c0986ff_000001,70f9fac2-cbb7-4d10-8581-0cc9c601c547,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000002,ffae80a6-f63c-4602-90f7-3daa4e84e21e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000003,77f29b42-3d74-4284-b406-e60a792fe372,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000004,e1f6bdcb-cf82-4e26-9542-3325d6ea184f,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000005,cf3d08b7-6c21-4949-b66f-f923764c589a,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000006,afa5097d-4eb2-4167-9d11-72910a68e917,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000007,b2914de3-768b-4b16-bb67-7c87c94d126a,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000008,175f67ae-87ee-4ed4-96bc-706a3be8788f,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000009,ed6fe8ba-4314-4a3d-979f-19729e6272b3,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000010,1c758113-9c76-4e3e-a22e-138d1c2b7e9a,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000011,98885186-b2b3-475c-bcb5-d902124d3fd5,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000012,6cc9dc3b-105b-463d-81c8-21c6f3c4fb7a,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000013,963c0b92-b82c-4ee4-82c5-042de44944f1,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000014,db515835-c0fd-4584-9e58-2d2977bbe2ff,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000015,93a04b7f-267e-4c66-bf1b-801588b04923,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000016,2bc6cd29-81c7-42ec-ac56-7f3bc858aa72,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000017,d82315a9-6a70-4c84-9379-71d28000d553,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000018,5358299c-1a4a-4668-a0b9-641a01d91883,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000019,9226b860-f263-4590-82c5-533b8014c8f8,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
603215ff-05bf-4672-a00f-1acc6c0986ff_000020,4655c44d-7d2b-4f6d-b9c1-1b05e312346c,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
