event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
60551a7d-106f-4a11-85b3-a83240c674f3_000001,85a1e1ef-21e5-47a2-97f5-b20593566030,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
60551a7d-106f-4a11-85b3-a83240c674f3_000002,4e60bce3-92a2-4eb0-a825-ffa55718c19a,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
60551a7d-106f-4a11-85b3-a83240c674f3_000003,f0485988-46a7-431c-8b98-e3436fafdcc8,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
60551a7d-106f-4a11-85b3-a83240c674f3_000004,7fdb7570-55f7-49ed-aabd-25a76f0ad514,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
60551a7d-106f-4a11-85b3-a83240c674f3_000005,d848a945-45d9-4a02-961e-3d71e8127883,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
60551a7d-106f-4a11-85b3-a83240c674f3_000006,087b8eca-43c8-431b-9a4b-93e6aa3f1a9b,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
60551a7d-106f-4a11-85b3-a83240c674f3_000007,293603c4-5d91-4f25-8b62-5413e5332fd0,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
60551a7d-106f-4a11-85b3-a83240c674f3_000008,a49f41e2-956e-4505-8a74-e774b7084160,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000009,39b40402-8ee9-47a4-9893-d4e7afb4d117,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000010,b6b0d06e-922c-4127-812c-d6e9c51516e9,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000011,86c97936-d826-4f54-8614-9fa3d60d4b2f,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000012,a38201f3-b954-4097-88fb-ebd386344273,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000013,ca284151-dd89-4456-968a-9a50458ee576,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000014,bdebe38b-1626-4a14-8392-1f6642eb894e,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000015,9ed35a68-156b-4e81-8d3c-1ce29c838d0b,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000016,c8b713c0-6961-497f-b845-0442437427a0,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000017,b9dfd485-d6df-4d31-9953-73eae10afc0d,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000018,e08a40c5-07b1-4199-b3d8-fcccfe1e77b3,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000019,b19d2f7e-8288-41f9-9f53-3853cccd081f,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000020,66a44016-51da-4463-b82b-fa6234c16b97,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000021,db4d613f-f45f-4d38-a809-715bf6a886e0,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000022,c7ea48cc-d879-43dc-9d23-257fa132f778,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000023,3d28fb6e-6262-40ba-a1d9-81594003d76e,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
60551a7d-106f-4a11-85b3-a83240c674f3_000024,351e3fe1-8a5a-49c8-8a7d-34dd3241a765,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
60551a7d-106f-4a11-85b3-a83240c674f3_000025,a497b3a8-fcf6-440a-a8fa-a26029dbbf26,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
60551a7d-106f-4a11-85b3-a83240c674f3_000026,d7088140-9e3a-4972-bf55-495c4851e19b,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
