event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
609092fa-c245-468d-91b8-cb4c36ca37ff_000001,c877925d-faf2-4816-a8a4-d69a3aa49e61,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000002,12dd090c-d9e3-4736-bc4c-3b0c65b8f4ca,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000003,d13eb93f-2a0b-4182-bbc0-8e7c512ac92b,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000004,c62470eb-35dd-4673-b364-589615fb277f,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000005,f974c56d-ca49-4782-8420-0101d585f007,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000006,bdd912a7-6369-4d57-b811-4ee4dfb793e2,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000007,903f17b9-9339-4853-b937-89be81893ba6,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000008,e4755b3d-c8c6-442f-b58a-e5fb84344480,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000009,a7666783-641c-4ca3-b401-655f4228baf0,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000010,6588c500-79e1-431b-8b4d-31cad3922b3b,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000011,f9cb359b-5b41-47ce-bc8a-2fbc203579d4,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000012,1d076cf1-3cff-488d-bc96-f401f2a612d4,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000013,2142194f-2050-421e-893b-0ba484896afd,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
609092fa-c245-468d-91b8-cb4c36ca37ff_000014,40fa0ccc-5f89-47d4-a5ff-59bd1d0a613c,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
