event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
62808b93-99a0-4109-adaf-67c5ece50090_000001,b2a7bb99-3f54-4dec-be90-7a677384662e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
62808b93-99a0-4109-adaf-67c5ece50090_000002,77f2d7d5-77b9-4d18-b78a-c85ef5748833,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
62808b93-99a0-4109-adaf-67c5ece50090_000003,fd94853e-ae4a-42eb-9209-8e7232e81311,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
62808b93-99a0-4109-adaf-67c5ece50090_000004,4acd600e-ea11-4839-b4c0-2403fdf2f854,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
62808b93-99a0-4109-adaf-67c5ece50090_000005,431341dc-877e-4f28-b2c7-a8e29eba6be7,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000006,193d58c6-e678-49ee-bd0f-b984947e453f,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000007,27d13c76-9c7d-4dc3-8fa8-ca0deb433710,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000008,3076b076-1a46-4540-8658-b392bb069005,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000009,c076a075-e3f4-49e7-a4aa-86002b4aa639,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000010,b40b9aaf-39ad-4e31-8f04-135271f5dddd,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000011,d94122fb-6b03-4e4b-be5b-586614f5bcb3,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000012,e918d07c-407f-43fd-b2d7-81cd2123d6d6,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000013,408281d6-92d1-40c1-8ef6-84eb0ad22de9,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000014,38e17d94-25c8-4f8d-a630-4248cd0a8c4c,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000015,953f1b0c-832b-46ae-af48-c482e90b884a,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000016,a591520d-1b1a-44c4-afc6-e00f9c43e2a7,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000017,47e832ef-5522-44bf-a219-5e14d85c9e8a,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000018,53e6205e-a123-4879-89fd-2cb9010c5ab3,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
62808b93-99a0-4109-adaf-67c5ece50090_000019,87de8828-4b9b-4443-b2f4-4800cf432ae3,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
