event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
6301f4e0-be54-4be7-b988-18978294bbbb_000001,468d9115-63de-43af-bfc0-0b8e6c6f2670,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000002,b49585d5-55f4-485d-b527-7d1bc5b2b62e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000003,e5ed9a95-7e73-44c5-987d-f3c9e90107b7,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000004,f70689df-c86e-48c1-9b9a-a592655b08f3,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000005,2b936652-86ba-45ac-8b41-6f3a9d098da3,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000006,2ef3ae04-cc0f-4ac8-b232-e5ca3ab53c7d,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000007,ac0b7a2a-3a33-464c-ad61-55c460c9b607,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000008,e8a82a71-5021-4b5d-9beb-405ef0fbe7ba,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000009,6c6ebf7e-5729-4126-9283-9ce385f532cc,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000010,38bafff5-0cfb-4cc7-bf30-64089745ba21,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000011,af09decc-0970-4d2b-a2c6-8d2eae28f58a,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000012,f8c07b90-6f01-4874-8b19-f2fc3f6d485b,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000013,b0aa923f-169d-4213-b656-648dfe719dad,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000014,f4b91922-a4a5-4019-8c1c-f330a8947033,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000015,2a05ff0d-c486-4fe9-abdd-468b92067fe1,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000016,748fb566-ceba-40ef-9dba-fea13d47d2ed,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000017,5ed3cbd9-ca5e-485c-8719-7e793576588e,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000018,6835f0d5-dd18-4b96-8736-daed355228e2,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000019,5a7c62c9-3ac4-4d0c-8677-7a2be3a6c9c7,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000020,76c2f511-f3d4-43f7-bec1-2e63122f4554,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000021,a2ab4275-838c-4b57-bb03-65376c905dbf,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000022,3613ec3b-35ef-4a47-80a3-ac019c50e7ad,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000023,ae572b48-7cb7-4cce-8dac-2707151c9253,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000024,459f8f26-adad-4746-9563-4f9717683c4f,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000025,00661163-aa01-4b64-8e6e-cbf7d95672df,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000026,28c30515-0d12-48af-a84d-cbd77f9245b4,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
6301f4e0-be54-4be7-b988-18978294bbbb_000027,d9558513-81c7-40f9-8ddb-7e7de28f808c,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
