event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
642f5926-2694-4968-b794-216bf6491348_000001,a069a2a6-0e32-4a4f-826d-58199cd25055,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
642f5926-2694-4968-b794-216bf6491348_000002,715162a2-2a6d-472d-93de-a4e61e14c5e5,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
642f5926-2694-4968-b794-216bf6491348_000003,c8e4456f-34a4-4280-85c2-8474adffb14e,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
642f5926-2694-4968-b794-216bf6491348_000004,d60d959b-d5a1-47cf-836b-9d9c177526a2,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
642f5926-2694-4968-b794-216bf6491348_000005,47adace5-06cd-4037-ad3a-94000c796500,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
642f5926-2694-4968-b794-216bf6491348_000006,33d90230-a4c6-4996-ac4b-809818dccb50,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
642f5926-2694-4968-b794-216bf6491348_000007,a9b74d07-47b3-4679-89b2-7d221ea3d9ab,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
642f5926-2694-4968-b794-216bf6491348_000008,8f7813eb-058d-4ef2-b8d9-df7867ca4ed0,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
642f5926-2694-4968-b794-216bf6491348_000009,576bafb9-5ef6-4bad-a183-d61691cd5002,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
642f5926-2694-4968-b794-216bf6491348_000010,dcda770d-aa25-48c0-a026-4d4c669f227d,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
642f5926-2694-4968-b794-216bf6491348_000011,57c5cd89-5332-44bd-9e3d-8b42ffafbe97,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
642f5926-2694-4968-b794-216bf6491348_000012,7eb55576-5dac-4cf8-bee0-043db22e0936,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
642f5926-2694-4968-b794-216bf6491348_000013,2aacd8c8-13c0-4b1b-9da0-f5271d650faa,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
642f5926-2694-4968-b794-216bf6491348_000014,17e88207-2b80-475b-b833-35e06a3f380b,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
