event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
6440c068-79d7-4b8e-bbef-a5d4b624f079_000001,ffffd466-61d5-49b4-800c-f32d1b30f92f,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000002,4d75dcf3-dc04-42ae-9382-889927128438,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000003,4afc0e88-d2a6-41f5-bc7f-967ec244228c,promotion,2025-1,95,31,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000004,ff0f7839-dd38-4c3c-97a4-ef646c46f330,promotion,2025-1,97,34,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000005,ee1ac2b8-33dd-4103-8c06-3b348c5daeb6,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000006,ec7e8c4f-5446-4456-927b-5132f73b6f90,promotion,2025-1,31,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000007,e9bd7bb1-53b8-49e2-b86e-5c25cec3498b,promotion,2025-1,32,14,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000008,ebac9565-104d-47f4-aad8-6542df58680b,promotion,2025-1,27,12,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000009,2132765b-36e9-48df-afd1-edb0f09acf81,promotion,2025-1,33,18,C,Consultant,Stockholm,C,SrC,CAT18,0.597,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000010,691c2208-35a9-494e-bcc1-0181e943c1c1,promotion,2025-1,32,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000011,c542b2c6-87b9-40c4-b298-b9f1b43a3c96,promotion,2025-1,29,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000012,55aad535-21cb-48d7-9880-46a6a9ea1a2b,churn,2025-1,76,26,AM,Consultant,Stockholm,,,,,0.014,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000013,4d71f1e4-5280-4833-85c7-59272b4ac217,churn,2025-1,64,13,AM,Consultant,Stockholm,,,,,0.014,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000014,1ac4f8b8-1d0e-4a82-b33e-9bbda601a854,recruitment,2025-1,0,0,AM,Consultant,Stockholm,,,,,,0.01
6440c068-79d7-4b8e-bbef-a5d4b624f079_000015,21d8367e-4e7e-4f3c-971f-ae06853ed9bf,churn,2025-1,22,2,C,Consultant,Stockholm,,,,,0.014,
6440c068-79d7-4b8e-bbef-a5d4b624f079_000016,7b3bed65-3c73-4971-ae18-614c4ccdb69a,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.01
6440c068-79d7-4b8e-bbef-a5d4b624f079_000017,9b9af7ef-fd8f-4a6c-be32-66cecf3eeed9,churn,2025-1,44,7,SrC,Consultant,Stockholm,,,,,0.014,
