event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000001,d24b02fa-8d03-48c5-96e7-909bdbd3d732,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000002,2d944549-10d7-45e9-ac3f-4917b850017b,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000003,4aeb4bfb-b588-4ca8-a3f8-8e9d8dc4f72d,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000004,ff932f97-f938-42e2-9b1e-280d4a6f8a84,promotion,2025-1,95,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000005,c7acf290-b7b8-400e-a65d-fea6d37dae5d,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000006,b8d7c3dc-2ae1-4a3c-adb9-0ddcdb2709e0,promotion,2025-1,87,36,AM,Consultant,Stockholm,AM,C,CAT36,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000007,2e4d0a08-a6fb-47e5-80a8-2c1a3c10507f,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000008,f98e2603-c900-45e0-8462-4d580d486e54,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000009,444b6075-681c-48f0-a060-4f2010ffb861,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000010,461c2062-28f8-4575-b0ce-461778cd72a9,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000011,0ab42b29-7814-4489-a28c-168e4b85c0df,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000012,cea166b8-50bc-49d5-b5a0-2366e801203e,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000013,fe9e5d67-3460-4e72-a68f-93a9e1ce7a1c,promotion,2025-1,144,35,M,Consultant,Stockholm,M,PiP,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000014,6abb442e-7e5a-4365-b872-aa17de9b461c,promotion,2025-1,51,18,SrC,Consultant,Stockholm,SrC,SrM,CAT18,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000015,2d14baf8-a39c-429b-97c1-c0555a646d93,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000016,8b0a5817-997a-4275-ad70-944b66c2f5f0,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000017,9bf97984-047a-4b7b-a29a-942430ac1501,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000018,d0e937c8-15eb-48dc-b0f1-1df61178d933,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000019,9256d7f8-c9a6-4bfc-b1f6-e3d05ec61fa4,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000020,76f8aecb-7e40-4969-ad45-d7d1c44f7ac8,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000021,808d321d-ccd6-497d-8f19-776c5e94f170,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000022,937d53e4-1a07-4f1d-a2e0-5136319f2bcc,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000023,b8fb9ec9-601d-4654-b1e6-8ee96ebede3e,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.05
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000024,bf0d0717-0b76-4a60-9f98-c70e0437fae4,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.05
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000025,9c2d4274-c4ab-4c48-a90e-fa2fa3752f94,churn,2025-1,66,11,AM,Consultant,Stockholm,,,,,0.0127,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000026,ba82b311-fc64-4181-93ae-00f4bf1b67c5,churn,2025-1,84,0,AM,Consultant,Stockholm,,,,,0.0127,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000027,6198114c-51fc-48cb-b334-a59c1cfde1bb,churn,2025-1,15,0,C,Consultant,Stockholm,,,,,0.0173,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000028,1242d80a-152e-4e19-9882-20ea6dae87f8,churn,2025-1,25,5,C,Consultant,Stockholm,,,,,0.0173,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000029,70881eb4-d9fd-4479-9dc5-460c1b81bf97,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.01
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000030,fb719b6b-938e-4e13-9ae4-381b77d4a5e6,churn,2025-1,46,13,SrC,Consultant,Stockholm,,,,,0.0173,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000031,9be119b2-cab4-4ccd-ada9-12a21f65ec97,churn,2025-1,43,8,SrC,Consultant,Stockholm,,,,,0.0173,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000032,44f1f062-6783-430b-bcc7-96c989685cf2,promotion,2025-1,32,17,C,Consultant,Munich,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000033,2d26f7ae-9788-4d8d-b624-10b10f7a7322,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000034,1b0aed5b-5467-4db8-9731-440c154373a5,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000035,2fb4cabb-6cba-4b8e-9041-d568b1b7de17,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000036,20ce1fd0-b481-48a9-a624-afc6bdf9b698,promotion,2025-1,33,18,C,Consultant,Munich,C,SrC,CAT18,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000037,abdba18e-2783-4ea7-8307-ad7772d890f9,promotion,2025-1,93,34,AM,Consultant,Munich,AM,M,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000038,ada26514-1048-411d-96c3-8c7e959b4b4d,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000039,918bd557-acc6-45bc-a233-02d100c848a8,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000040,d75b5205-af38-4d22-aa43-fa22fc918269,promotion,2025-1,129,31,M,Consultant,Munich,M,SrM,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000041,3035165d-2fca-4555-b092-15728284de42,recruitment,2025-1,0,0,A,Consultant,Munich,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000042,5f5bafe2-fb68-4920-873e-a5236aba34a9,recruitment,2025-1,0,0,A,Consultant,Munich,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000043,680cf942-e174-4868-ac21-73abfff26231,recruitment,2025-1,0,0,AC,Consultant,Munich,,,,,,0.05
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000044,328f5d05-eaff-41ba-a136-8dc9606cfdab,churn,2025-1,43,7,SrC,Consultant,Munich,,,,,0.0173,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000045,a4ed4ae2-4b68-46e8-a976-5e9d01c810f0,churn,2025-1,98,6,AM,Consultant,Munich,,,,,0.0127,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000046,9e8ebaf3-8489-42e4-ae4d-eb236061096f,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000047,5460618a-2fed-49c4-81f6-9ab1ba98095d,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000048,cd5889ae-a8ea-4375-bb44-1d7e044b23db,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000049,0ffe9af0-dfff-426a-8526-4ea68e3eefec,promotion,2025-1,86,30,AM,Consultant,Hamburg,AM,M,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000050,310b97b2-c0a0-4a23-8cf5-da8eb4aff5c1,promotion,2025-1,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000051,72255e06-8157-4e84-9e52-bf71c772b905,promotion,2025-1,28,13,C,Sales,Hamburg,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000052,4f5ef28a-ba61-473d-bfc0-5bbdfe9d0fdb,recruitment,2025-1,0,0,A,Consultant,Hamburg,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000053,e2d44fb5-42eb-4adb-91f2-5061cc9b604c,recruitment,2025-1,0,0,AC,Consultant,Hamburg,,,,,,0.05
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000054,632a5bb6-9d03-40f4-9971-a71bd196348c,promotion,2025-1,29,12,C,Consultant,Helsinki,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000055,ac9fe6b1-f241-4f9a-b09c-9ee6b6cff821,promotion,2025-1,96,31,AM,Consultant,Helsinki,AM,M,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000056,d35be3d5-a959-487f-a265-f6f23890ecaf,promotion,2025-1,80,30,AM,Consultant,Helsinki,AM,M,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000057,8a96ffcd-7523-4ecf-8e95-d9573c000c3d,recruitment,2025-1,0,0,A,Consultant,Helsinki,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000058,31edf5d9-7fd2-49d9-ab56-730dba972308,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000059,e52e68b1-c51b-4012-baae-a7781a09244b,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000060,325284eb-6df0-4fe6-bcb2-9837912b4b0b,promotion,2025-1,29,12,C,Consultant,Berlin,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000061,e0756004-589f-458d-a46b-1c566c49ddf0,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000062,f85777dc-645f-4bb0-bd28-5d4fa4ee2496,promotion,2025-1,132,33,M,Sales,Copenhagen,M,SrM,CAT30,,,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000063,674aa44e-bccf-4699-b254-54d79c853db5,churn,2025-2,5,1,A,Consultant,Stockholm,,,,,0.0128,
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000064,4d712b4a-26d9-49eb-86d5-7d6cde9dd24e,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000065,5a9fece1-d8bd-4fbc-a19f-a7e1ad589495,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000066,8d0768b9-2421-4e4c-a1da-9cf145be31ca,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000067,f7c359ab-100e-4165-ac98-cd45bb5539c0,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000068,8fb5d002-9216-4621-9780-90893f90c9b6,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000069,19e66a3a-6e6e-4495-b900-2f56d46c34c2,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
64c895eb-3d4d-4b72-85cf-6fdf33c31c3d_000070,c7e4ea4f-6443-48c9-b7d4-9fa59d8fbb68,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
