event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
67ea5b14-2da4-4d44-824b-a38b0c019437_000001,2c604e65-deaa-441b-89da-da76c7d3f914,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000002,45977869-2a9b-49e8-b4af-6265d9f5d3cb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000003,fcd078cc-f954-4a7d-9bee-57f2637620c8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000004,e877e076-6806-418d-b611-5305e39621db,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000005,c05204f0-3119-454a-ac96-e8642b011ba5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000006,a600fe1d-c317-46ab-be83-b97b1665eaf9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000007,e2ef0b72-3daa-4853-9b41-64e67cdd6128,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000008,41206f82-6776-49a0-863b-7386e6212bed,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000009,9fe30269-93eb-4417-96b8-90cbd93cd133,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000010,95f8aab3-1227-459d-954b-e1ebf31fd851,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000011,01d645a1-b531-40ce-a1e1-a920a76966e8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000012,bff10219-9646-4caf-98eb-151f6e9243fa,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000013,63379754-2f67-46c3-bfaa-4b3be405a250,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000014,a9de3e76-91d0-4c1d-9941-f55321a1baad,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000015,000680af-9aa4-4a5c-8047-da9c7f587c1a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000016,b05809a3-777f-4bb9-9dc2-ebe26256ae86,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000017,1e312b5b-c553-4612-b347-8a03843dea15,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000018,cb0f2440-009f-467e-b1cd-73d981e25d25,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000019,fb61fd14-e793-4667-b9bf-f31255d81526,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000020,1c66b1cf-0fee-4df1-ab0c-63ae1885b605,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000021,225b6f12-ed2d-4bd8-9827-4a782fed1a6a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000022,b580fba6-cc6e-4a46-a765-37e2491622e0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000023,7b0f6f5b-93b9-4ba4-b0a7-0dc18494aff3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000024,6ead514c-9504-42cf-9df1-192c95ac94f3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
67ea5b14-2da4-4d44-824b-a38b0c019437_000025,53618678-41da-4fa5-bdad-efbcf8179bfc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
