event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
69896746-83eb-4b57-8a4f-86f8a034e9e5_000001,3825832d-2ff3-4541-89e6-30502a117406,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
69896746-83eb-4b57-8a4f-86f8a034e9e5_000002,0eb6746f-b68e-4b0a-9687-3bb56a244bcd,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
69896746-83eb-4b57-8a4f-86f8a034e9e5_000003,bf608727-c7d7-47dd-abec-971f9d27f4f4,promotion,2024-1,81,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
69896746-83eb-4b57-8a4f-86f8a034e9e5_000004,0efd3acd-cc14-41c7-983f-64e1bb869237,promotion,2024-1,84,34,AM,Consultant,Berlin,AM,M,CAT30,,,
69896746-83eb-4b57-8a4f-86f8a034e9e5_000005,67db33d1-b7e6-4b2c-8abf-699c27fba964,promotion,2024-1,128,31,M,Consultant,Copenhagen,M,SrM,CAT30,,,
69896746-83eb-4b57-8a4f-86f8a034e9e5_000006,9bc1e0bc-b76e-4fef-a53a-7abd85e9d6d6,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
69896746-83eb-4b57-8a4f-86f8a034e9e5_000007,9886770f-f848-4d0b-941f-eb4f695e967a,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
69896746-83eb-4b57-8a4f-86f8a034e9e5_000008,e77f8eca-8a34-4331-a32e-1ce59c4e51fb,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
69896746-83eb-4b57-8a4f-86f8a034e9e5_000009,70681451-4441-4284-9563-ec0be64d9045,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
69896746-83eb-4b57-8a4f-86f8a034e9e5_000010,659e236b-bedb-480e-83a9-012d77f7782f,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
