event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000001,e7874581-7ccf-43af-8077-ecbb9bddcaba,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000002,09992f26-1365-426f-8c08-edc266fa0738,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000003,2c2ee6d2-d849-47ad-932e-16cc95188957,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000004,d052fea4-b92a-4ec1-b9df-d27333fa78b9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000005,32453f24-2b94-466d-adc0-eae1450f5b6d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000006,bea81f05-0a26-4a7d-9f5a-7120036a98e8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000007,84127549-6426-42fe-ae35-d8ca47b2d436,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000008,f57aff85-8ce6-4fc2-9b88-d89f09fc0a64,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000009,7ce54e79-9551-4acc-a48f-a63204e55d8d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000010,a64b028e-c2eb-4f6a-92fa-eee0f76d505a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000011,14a27107-fb48-421e-995e-7234f0474b19,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000012,afc39a81-7c9b-4d81-b311-66ecd199f33d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000013,30ec6f14-a08a-4500-8cf6-c744a57f07a9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000014,a603057c-89be-4be7-99dc-8ab2a2772b95,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000015,63c290b1-8da3-4a18-9fc5-f8e8a8d954d6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000016,b807edae-8dc7-43c5-bd1b-143a9428abc9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000017,8ee8a9a6-3147-4730-aa71-4acafe55a47b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000018,eabbd81c-0115-4ebd-92b7-af5a1dee5119,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000019,0f199af8-084f-4dab-9a98-eea6173becb2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
69c752bf-58c6-4e2a-99c6-e609fd154bcd_000020,3c80c07c-ce7d-4a31-8c05-64a043bb9306,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
