event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000001,dc91d7ea-f3a7-474b-807c-398d63037dbb,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000002,ec25f14b-70dc-4fc0-bf0e-8d83b9b5e550,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000003,77162841-195c-41b7-ae22-0b42f896181a,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000004,2caf1a6c-1ae5-4e30-b38a-903d628d8341,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000005,ef55bb41-c7bd-4ccc-b215-f1c5c22262ed,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000006,5f838572-bb42-4e91-91ef-0d08f8911157,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000007,2217b4d7-cf3a-4b7c-bb8b-8b081c2c171d,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000008,20352a19-d024-4d36-a017-c85f67d39ec7,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000009,a99ac90d-ef71-424b-81cd-59e84becc095,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000010,d756dda1-5301-44cd-83b5-e3add923032d,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000011,2d8faea3-d1bf-43f6-ac25-9f0506dcecb6,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000012,551b1088-aa33-4435-a80b-273267da4e02,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000013,703e4459-f56c-4df5-8654-05ce9f2e95d8,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
6eb65658-bdb4-4db2-85a2-48e7a65d1184_000014,6e9b5926-a670-4a67-aa74-d24ed1b3abad,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
