event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
703275c4-050b-4f9e-8f79-db2c43eaaa80_000001,2c8a11c4-6026-4193-872d-eedbf2c8f1f3,promotion,2025-01,10,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000002,d8aaf0e3-c625-4a02-bee9-1012711985cf,promotion,2025-01,21,11,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000003,3d45c6d6-caef-4e19-b22f-92f914f9754d,promotion,2025-01,16,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000004,3c17a62c-3836-4e28-ab0b-97ad40a210f5,promotion,2025-01,18,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000005,740d3c4a-ad16-44f4-9b3d-84d834a3a9c4,promotion,2025-01,14,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000006,071cac33-06ab-40be-9c7e-cbebca5b975e,promotion,2025-01,17,9,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000007,cb20ff7f-6f42-48d8-acdd-72f911cc6d7a,promotion,2025-01,13,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000008,c0eacdf1-2b1d-447d-a0e6-d61125af2138,promotion,2025-01,11,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000009,a4ce607e-d9fb-4475-ba1a-b9a19a879671,promotion,2025-01,10,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000010,8b21d119-7f28-443d-8737-12c360f8a0a9,promotion,2025-01,16,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000011,7aec68b0-a0d6-48ea-9ed1-bdfdcafd5139,promotion,2025-01,7,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000012,ad85ad98-bc48-4490-b8d4-3726ec0d9ba7,promotion,2025-01,15,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000013,bbc0d92b-bcc9-4548-8f76-248466bd643a,promotion,2025-01,18,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000014,8329eb2f-d230-4a3c-8ea7-60af7c91bea8,promotion,2025-01,17,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000015,daa21463-677f-424d-91fe-3dad6783d74f,promotion,2025-01,16,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000016,ae9c9e89-e2eb-4568-9b52-e2718ee4a03e,promotion,2025-01,18,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000017,f966accd-7307-40ce-84d2-96eb0d6d95ea,promotion,2025-01,9,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000018,6e1d3df7-4812-4229-8bda-04c1971f5ff5,promotion,2025-01,19,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000019,c98eac3d-7974-4859-9c65-4bb5f15bd700,promotion,2025-01,10,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000020,8a1cd53f-6674-4daa-b1f9-734fa45075b2,promotion,2025-01,15,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000021,62ff446b-9e89-4b54-b7a8-1153bacbaeb4,promotion,2025-01,14,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000022,4a82b0a7-60e4-4db5-b6f6-e815f1742bef,promotion,2025-01,9,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000023,65250a13-5981-4d4c-bbc0-55da41761230,promotion,2025-01,13,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000024,4942b09c-1f9d-4806-9c76-a88884490226,promotion,2025-01,12,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
703275c4-050b-4f9e-8f79-db2c43eaaa80_000025,5cb25d2b-3193-4ef3-bf8e-5acfd217788f,promotion,2025-01,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
