event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
703b81c6-3093-4abc-9493-408ef4d0fe2f_000001,6499f8d3-ea4e-4cc1-8ea3-c533babcabc5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000002,b0f96512-7f8a-4e89-aba4-fe32e1ffb33c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000003,be69d014-e991-4809-a63e-59c32d89c7e9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000004,3cd743d8-3a89-4a1b-a96d-cadba63ba6af,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000005,69ae6dd1-04b1-47c4-acb8-03f8176cbb47,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000006,b181f012-4a35-436e-8317-4af7173dbc5b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000007,0c4bf48f-c277-41f6-8482-7fe84d7f4213,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000008,fb1cfb65-2d14-4803-9bbd-26686ec53a3e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000009,32468977-4002-4818-86ef-66f635f7538a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000010,fe82e3f3-995d-4950-8df7-7d44fadf1d76,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000011,59fb5dd6-6cb5-4f56-b664-ce8a5f0b2e32,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
703b81c6-3093-4abc-9493-408ef4d0fe2f_000012,3d24ed21-82b8-4caf-800e-924987bff8f5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
