event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000001,306bc1ec-929d-48b2-9245-1b69d9b440fd,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000002,fa6a7787-d0fb-432b-86b3-c15bccd76f05,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000003,880ee49a-7e80-4f99-a96e-96fd33fe1268,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000004,ad0ba1e4-5130-4b98-9883-676f36255eb7,promotion,2025-1,95,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000005,93397def-0ce6-4bed-842b-8d711d5bb998,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000006,ca8a488c-4721-4515-90f1-64219f489c98,promotion,2025-1,87,36,AM,Consultant,Stockholm,AM,C,CAT36,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000007,43337c8b-6d05-4654-bbc8-2e3dcf3a908e,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000008,e84af5b7-8f73-4519-b4ae-1bd9f222a429,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000009,49aebeed-caed-4582-9b57-f34da1ef3dd8,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000010,a3ed4a8c-2d1c-4a29-b5c4-4d6dc743cdf6,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000011,318cef26-874f-4687-8a2d-a8067dd64dd7,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000012,a9ead320-23bd-4397-85e9-9ac917f19bd3,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000013,5dd9e01a-5891-4de0-8870-a87dfb31b62b,promotion,2025-1,144,35,M,Consultant,Stockholm,M,PiP,CAT30,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000014,36700c07-e4d1-4f7a-84d2-07214207e5ea,promotion,2025-1,51,18,SrC,Consultant,Stockholm,SrC,SrM,CAT18,,,
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000015,1696e908-ac27-48cb-8ba4-23cb30e27f7d,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000016,1110c1c8-1a4f-4ea7-83fa-98b351abbc33,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000017,bf7b1643-af4c-4dcb-bdb3-6937a63bedbf,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000018,bdf3e9db-a84e-4c10-834a-a4e441442971,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000019,555a1c78-b6e6-49f3-9822-6c0337fcb47b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000020,d1b4b1f2-d16b-4135-b358-dfdbe3635d90,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000021,118f65c6-71d4-4089-883e-c0be65c70283,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000022,8541ff62-4bfe-434d-a1a4-286df2397f79,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000023,e7acb79c-8377-4134-aba4-acd91b8576cd,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.05
7103d2bb-dabc-43f3-9bfa-5da1f545237f_000024,bc2e294c-eae9-4dc2-a65e-d5b72e07d8f6,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.05
