event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
72ed4096-896f-4be9-ae70-a06fc4352ac0_000001,d90805a1-fbdc-4d75-93d4-87d072ef337e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000002,d14009bf-d54e-44e1-83f1-9c245e5bc512,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000003,60abf86e-7522-47cd-9b0f-052cd0eec97d,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000004,733ad76f-d492-42e9-87f7-e40a78a6e902,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000005,84489a49-966c-4bd4-8e33-902edb1874d1,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000006,d801feeb-7899-418a-be99-7e445b495e05,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000007,e33ebaa8-a170-42ff-9be7-c6e41ccffe49,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000008,4c37f1ad-6c44-4b91-a9b4-7b9a0f21450f,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000009,95343647-bec6-429b-b980-ccc8440e48c9,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000010,8a622cad-d4c1-4bbb-a6f9-b6dc19d7dd5f,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000011,3af37949-4322-47ed-83f9-747803e2c3b5,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000012,6c95350d-836a-4316-a430-e48da881a14c,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000013,994377c3-772f-49cd-a3ab-21da3e1b5349,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000014,4328f901-b7a2-4344-8565-15be76183845,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000015,197d3ebc-1507-45ff-bed6-11668e3b4857,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000016,3c5a1052-4d36-48fb-8fc3-bfa0006008ae,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000017,e9e44160-fd1a-414b-b630-942cf46a06ad,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000018,67d03f5a-a4c3-47be-8447-cfd5df6deaa9,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000019,e92aac12-35da-4697-abb2-bba612dad531,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000020,544f3eaa-afb6-4dd2-93c3-6903e0d6e08f,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000021,d42e6b5c-dd9e-4fa8-afce-afc33e128a73,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000022,50f3dd49-33f2-440a-873e-9a4b15e1f7ef,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000023,a8ded139-3989-47eb-8a73-cebeb852adc4,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000024,0d545856-c057-4d34-b34c-47659018c04c,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000025,b3a4b293-ef0f-4928-ac01-5d290c98a9d3,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
72ed4096-896f-4be9-ae70-a06fc4352ac0_000026,5ec7d323-8732-42cc-b0e4-f6545e92eae1,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
