event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
7723b270-c967-4e58-b82f-f7c390056f4c_000001,c10a96e8-6003-4be6-80da-13f26016404e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000002,86b5f017-f21a-42e9-b8c2-2611fd180b89,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000003,e1704aab-9d17-4144-b45d-22cd0c437dd7,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000004,bb8f3381-b306-491a-85ed-72dfc86acfea,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000005,8cab2590-b375-4018-8440-1c1201f02eee,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000006,de6cd270-6e10-45f4-9d03-8c1f5a08198b,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000007,7b24be02-acc6-4026-b3d7-b93b5cfe2d0c,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000008,7e8037e7-1c56-44f6-8ca5-bab733be541a,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000009,21c8509d-e98c-47a8-8531-aaad7254af1e,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000010,0539a606-d5dd-4778-9701-c51c959dc620,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000011,6d4164bc-e9d0-4ff1-9273-a85ad0893355,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000012,02d880e7-4d8c-48ef-9916-f48a248c5dd3,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000013,0562f6c6-5018-4c16-975f-88e6dd1aeaea,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000014,7b71253a-b67c-4584-b0a9-a6129cb8afd2,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000015,7eb68ec1-2aa5-408d-af83-f00b696034e8,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000016,6759d736-6480-4e50-9fc1-5efb36e17ba2,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
7723b270-c967-4e58-b82f-f7c390056f4c_000017,40e1a837-505c-4e24-a66b-4f72e45cb03c,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
