event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
790584be-c1e0-4565-af2b-ff1e58de8a5c_000001,b430099f-531c-422e-bc47-70851edab670,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000002,09f26188-e63d-4ebb-aa4e-e6e2847ac364,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000003,fa452ae3-b426-461e-93c7-991b8ec89647,promotion,2025-1,95,31,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000004,8ed4e24b-aa19-499e-8b36-d1492b73cf5e,promotion,2025-1,97,34,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000005,87c45497-f12a-4679-a2dc-fa3e5f1facd5,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000006,0c10a6c2-7d5c-4ee3-8e68-0a73a7384cd1,promotion,2025-1,31,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000007,7d21d8e7-a1f5-4660-ba41-3a646a2864aa,promotion,2025-1,32,14,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000008,91ad95db-1bbf-4b3d-89b8-414b2cb5f2d8,promotion,2025-1,27,12,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000009,5576e28e-6fcd-40f7-af76-503633c426bd,promotion,2025-1,33,18,C,Consultant,Stockholm,C,SrC,CAT18,0.597,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000010,93a3b596-4906-4e29-b8e0-51a17804f437,promotion,2025-1,32,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000011,39969011-80df-4f4c-bc98-bed42f2535c5,promotion,2025-1,29,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000012,fe692d74-ef6a-44f7-9893-4d126b47efcb,churn,2025-1,76,26,AM,Consultant,Stockholm,,,,,0.014,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000013,f193507d-476a-4b77-ab84-d9380580c14b,churn,2025-1,64,13,AM,Consultant,Stockholm,,,,,0.014,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000014,4f8dafac-658c-46f9-927f-067f62060409,recruitment,2025-1,0,0,AM,Consultant,Stockholm,,,,,,0.01
790584be-c1e0-4565-af2b-ff1e58de8a5c_000015,56e50ba0-4956-47d7-af7e-ef5fa67debf8,churn,2025-1,22,2,C,Consultant,Stockholm,,,,,0.014,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000016,e169ed32-e179-4c78-8bc9-a06ba5d3d632,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.01
790584be-c1e0-4565-af2b-ff1e58de8a5c_000017,65aacb7f-5962-4ac9-b0a6-897ee904ee20,churn,2025-1,44,7,SrC,Consultant,Stockholm,,,,,0.014,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000018,2df466af-d58e-4f7d-bc82-c98c5b3c54d7,churn,2025-1,50,15,SrC,Consultant,Stockholm,,,,,0.014,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000019,e77c1cc2-5cec-4320-9d87-fade42b47b42,recruitment,2025-1,0,0,SrC,Consultant,Stockholm,,,,,,0.01
790584be-c1e0-4565-af2b-ff1e58de8a5c_000020,5274f639-7736-4ac8-b71a-3d20bf61e80d,promotion,2025-1,32,17,C,Consultant,Munich,C,SrC,CAT12,0.442,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000021,9a6fe483-4f25-4ee8-97c3-36a4074ea25c,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,0.442,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000022,06801010-8541-4837-89cd-100d05e7c4b8,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,0.442,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000023,54558fbb-2b4a-47de-85c2-c54f89ea6868,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,0.442,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000024,c3416a96-27f4-46f3-9c35-9e70bebfd39c,promotion,2025-1,31,14,C,Consultant,Munich,C,SrC,CAT12,0.442,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000025,51d67865-5784-422c-ab31-bfc77b3be568,promotion,2025-1,82,32,AM,Consultant,Munich,AM,M,CAT30,0.234,,
790584be-c1e0-4565-af2b-ff1e58de8a5c_000026,72068c7b-675b-4f7a-84c6-403d8d240b82,promotion,2025-1,136,39,M,Consultant,Munich,M,SrM,CAT36,0.05,,
