event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
7acdd275-94ce-48e7-a00c-18a0aaba56b6_000001,8de0605a-8987-4f7c-8e79-8145100a1175,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
7acdd275-94ce-48e7-a00c-18a0aaba56b6_000002,b38d06bf-70d1-4a0a-9f13-4b2c1389cf87,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
7acdd275-94ce-48e7-a00c-18a0aaba56b6_000003,47ca6882-dafc-4673-ba7d-21239d76b6e3,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
7acdd275-94ce-48e7-a00c-18a0aaba56b6_000004,11a7e13f-48ec-4741-a995-64d607ad4f12,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
7acdd275-94ce-48e7-a00c-18a0aaba56b6_000005,a1835ec0-ab0f-43af-9847-553ceadc5f57,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
7acdd275-94ce-48e7-a00c-18a0aaba56b6_000006,84f3945b-e739-4ea4-bd1f-0beb37731d83,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
7acdd275-94ce-48e7-a00c-18a0aaba56b6_000007,a3fc6623-b1c8-4bab-a10d-af332c3e878e,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
7acdd275-94ce-48e7-a00c-18a0aaba56b6_000008,0ba48886-fcc8-494d-9d8a-96943d1695a0,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
7acdd275-94ce-48e7-a00c-18a0aaba56b6_000009,3a18a673-b1bf-4cfd-ae4c-279e533c6c67,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
7acdd275-94ce-48e7-a00c-18a0aaba56b6_000010,05b70e9f-bcda-45fe-900b-59ba58fbc28a,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
