event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
7c563bef-0df4-40ea-969b-881faddb688c_000001,b37958ef-79ae-468f-a98d-cdedaf3a0df5,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
7c563bef-0df4-40ea-969b-881faddb688c_000002,9276b23a-9a39-4fc4-87a0-48e6879d6113,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
7c563bef-0df4-40ea-969b-881faddb688c_000003,8f3b888f-44c3-435c-8b32-b31942c3a7c1,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
7c563bef-0df4-40ea-969b-881faddb688c_000004,51484680-8250-4962-8a66-991dc9f0ac8c,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
7c563bef-0df4-40ea-969b-881faddb688c_000005,3266e778-3aba-400f-8b50-8b9a5e9a3e09,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
7c563bef-0df4-40ea-969b-881faddb688c_000006,9898fd9e-d938-4348-8f36-ea2b099e4bea,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
7c563bef-0df4-40ea-969b-881faddb688c_000007,c9bafc5a-8374-4934-9651-0924ee65e925,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000008,74fb0fd9-6b52-4914-8340-0ec43cf901ce,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000009,e61cd044-aec4-4b3b-a592-ed32d598f69d,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000010,20caf6c8-30fa-4fa1-83ea-a0f56e5d97ed,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000011,b78ae209-233a-4214-b788-d940d12de5f1,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000012,eb037f89-3322-4d28-8b08-6e825fe0dd53,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000013,db963803-2639-4726-a5f0-803639dd3d4d,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000014,88677669-e678-49b0-9d3a-42fea348c136,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
7c563bef-0df4-40ea-969b-881faddb688c_000015,408b9bc5-c1d5-41ca-a746-adefc28ae771,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000016,486406a0-e379-41d2-b70a-9c474c420213,promotion,2025-1,29,14,C,Consultant,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000017,b23a5fc9-5d8d-4c83-bedf-a61e181d4105,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000018,40d7060e-9670-4f1f-af60-38fe7307e884,promotion,2025-1,30,12,C,Recruitment,Stockholm,C,M,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000019,d4766296-0a85-460f-a659-97eca24e71ff,promotion,2025-1,87,35,AM,Sales,Stockholm,AM,C,CAT30,,,
7c563bef-0df4-40ea-969b-881faddb688c_000020,884a9d3a-e64b-49a3-a1a9-a0c3911387b6,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,0.0198,
7c563bef-0df4-40ea-969b-881faddb688c_000021,d00e1722-60fb-4a7d-ab86-cc8034629254,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000022,72974476-9ab0-4c23-b637-c4f9b673f737,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000023,7c6050e1-6f5b-4f4f-93d3-b24a6694adef,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000024,3b953fbb-6e98-49f1-8c1c-65cbc714b275,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000025,9bf3bc00-b6d4-4135-95ae-ab485f0a6b93,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000026,d23fa9e1-c83c-425b-9ba7-b512d9d96342,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000027,5afe6065-9435-4a15-a715-808e5f81a3de,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000028,bed80527-e2b5-4f2b-af17-c2e08b368fa8,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000029,9faee006-e9cf-44c9-8c73-38e8c2e909a5,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000030,41275b86-1b25-4a09-a06e-9f7fe5667da5,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000031,dc8d3f47-c5f1-4798-9df1-05b24c45e903,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
7c563bef-0df4-40ea-969b-881faddb688c_000032,d2cc26b5-8c85-4901-9764-81b87e37a7d7,churn,2025-1,8,2,AC,Consultant,Stockholm,,,,,0.0265,
7c563bef-0df4-40ea-969b-881faddb688c_000033,db3edd8c-4143-44a0-99e7-3c996653163b,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.053
7c563bef-0df4-40ea-969b-881faddb688c_000034,b8bf4fca-2ecd-46ae-bc86-da1eee6a09e1,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.053
7c563bef-0df4-40ea-969b-881faddb688c_000035,26a5f42a-27f4-4da2-9b4c-c942bc064f3e,churn,2025-1,84,13,AM,Consultant,Stockholm,,,,,0.014,
7c563bef-0df4-40ea-969b-881faddb688c_000036,6b4bae68-aadd-450d-8593-de7655dab745,churn,2025-1,79,20,AM,Consultant,Stockholm,,,,,0.014,
7c563bef-0df4-40ea-969b-881faddb688c_000037,80d4618d-63fd-44be-990e-983ebafcf1cf,churn,2025-1,33,12,C,Consultant,Stockholm,,,,,0.023,
7c563bef-0df4-40ea-969b-881faddb688c_000038,168e7736-c6a3-40c8-b375-27c07ae416b8,churn,2025-1,15,0,C,Consultant,Stockholm,,,,,0.023,
7c563bef-0df4-40ea-969b-881faddb688c_000039,60dd82da-8f69-4edd-95f5-1c39c8e11fd5,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.0129
7c563bef-0df4-40ea-969b-881faddb688c_000040,bda65e4e-c1c8-4ad2-9435-02f57f449c00,churn,2025-1,45,4,SrC,Consultant,Stockholm,,,,,0.0172,
7c563bef-0df4-40ea-969b-881faddb688c_000041,75e8004c-c73b-4c07-965c-cfc6390dfbaa,churn,2025-1,51,9,SrC,Consultant,Stockholm,,,,,0.0172,
7c563bef-0df4-40ea-969b-881faddb688c_000042,dc78b128-f5c5-459c-ab51-c6e5f0690944,promotion,2025-1,32,17,C,Consultant,Munich,C,SrC,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000043,6cb044de-9b9d-47e4-adec-3a97be540dc3,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000044,52c88846-656e-48cf-b57f-f0a5b60dd42b,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000045,0c2123e0-6e7c-4130-a8eb-49d8dbf7c7a0,promotion,2025-1,31,14,C,Consultant,Munich,C,SrC,CAT12,,,
7c563bef-0df4-40ea-969b-881faddb688c_000046,bed4ec2b-7107-42ae-981f-ded5f3c7761d,promotion,2025-1,93,34,AM,Consultant,Munich,AM,M,CAT30,,,
7c563bef-0df4-40ea-969b-881faddb688c_000047,84fa0bd7-1547-4365-97e3-a1c2769b8ddc,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
