event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000001,aaef5ec6-1b1a-49cf-b8e0-acc037685760,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000002,6c7f23ca-cac7-4c87-959f-0eac953f020f,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000003,0312d28e-e69a-4983-b6d4-291be6a45605,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000004,179d8107-c1fa-4f2d-ba96-95afbd4b77a3,promotion,2025-1,95,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000005,02a1e9d8-65f9-4c07-a895-98c8f564e65a,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000006,65d100be-8ebb-4320-aa3f-02046928c8a8,promotion,2025-1,87,36,AM,Consultant,Stockholm,AM,C,CAT36,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000007,fdc85720-1cd5-4c5f-b482-40831f05938f,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000008,547a64e4-687f-442d-8643-c295d54cb258,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000009,aeecd86e-b82b-4c67-b9ad-d2946dc2767a,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000010,00842acd-8df6-41a0-a03a-d4ea53820dd7,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000011,3c5f6c13-d2cf-48ff-900f-e0b821855788,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000012,cb5dd4ac-e2bb-479d-9cd4-0eba12046ab1,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
7c910a44-b9d0-4b66-8bcd-69baf4aa5c23_000013,848a77b0-ca96-4a13-8b48-8220a4ad145a,promotion,2025-1,144,35,M,Consultant,Stockholm,M,PiP,CAT30,,,
