event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000001,de9adcbf-65c8-424e-a4d0-df0f3abc2e52,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000002,c16f1ab8-1b21-4090-b92b-988c20be8b94,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000003,8d967b92-7db8-4222-bdb3-18a4bf3e770e,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000004,0867caa4-a591-45a4-8f52-1aa4839f444e,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000005,bc857d9f-78e4-404e-a10c-cbf0430e1cd8,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000006,47fce94c-c178-40e2-b629-0e5e85ae51ea,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000007,b90dea73-0f20-4f53-baa9-125217721e99,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000008,e4527cd8-13d6-4615-b754-27a068788309,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000009,807c8afb-bfdd-4523-ae66-0a274b631c13,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000010,a3163880-f429-4341-aacb-68c86eea60e8,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000011,ded4a542-e595-4f7c-ae45-66f150d1039b,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000012,4ba8a6ad-a8a1-42f4-9223-19b6c1bb5b2f,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000013,fdbf5000-92a2-4458-b320-e924d4365b2d,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000014,3306f8e2-c3af-423c-9cce-e1a72aa57b9a,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000015,5bb8cdb3-7a8a-45a6-8027-05d912bd9c44,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000016,61b61ade-a6a7-4c68-838b-de7218dcf497,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000017,ddb47cf0-c6d5-4740-b9bf-e7b14e3aa78a,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000018,5cbc13b9-de2a-4bdf-bb69-f016c83d05a9,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000019,7d7d1592-0aae-4ef9-b1ae-f4bb98c1c8ba,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000020,0768f528-9fd3-4e23-b16a-a473b61ed2a6,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000021,abd74698-0a66-48eb-85f2-3b9538060d31,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000022,06909072-897b-45d9-a450-d2bcd7f48088,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000023,faa91cdb-5cf9-4a6b-aac1-166560217b0a,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000024,503c1725-2039-4df6-b227-33cc2fe22cd7,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000025,5f0ef998-2721-4217-b3b2-fa10b7f4376b,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000026,698c0418-c72e-4f02-a8a2-e256588c6bec,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000027,c028962d-463a-4ac0-b1cd-6990ed45c423,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000028,606d569f-ad23-461e-a989-ec3c90d82fb8,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000029,b353b645-a7ac-4f84-bb45-e2145b806798,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000030,6ef44337-c639-41ee-a292-9e812b109c1c,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000031,82ade7a8-fa1d-4bbc-96c1-8b589fb919b1,promotion,2025-1,24,24,C,Sales,OfficeA,C,SrC,CAT24,0.278,,
7e5b38a6-5680-4bdf-89e7-27cad5b878fa_000032,7061b22b-a854-45ab-a828-4f02faaf82a8,promotion,2025-1,24,24,C,Sales,OfficeA,C,SrC,CAT24,0.278,,
