event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000001,c68ed225-68be-490c-bfa2-311e33aad5dc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000002,c6aee277-658c-4790-a8f8-9ce123efc0b2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000003,59d3b188-9654-4e88-b677-62501298f49c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000004,046e7030-fff1-4d86-8c55-0992f3cca644,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000005,80f31122-6a3c-4fda-8315-23ec19bc17ce,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000006,b6da8506-5db7-48c8-a1cb-8184e3e0eceb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000007,5a62fc69-e02c-41b1-b044-639be3458661,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000008,398fe1db-ea5c-4aa9-b799-0e804f4d13a4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000009,127e6d67-3db4-4240-8335-f14624663b83,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000010,c4942cc0-60b1-45fe-af1a-01d133664389,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000011,b0e90601-462b-4072-833a-5e84d4dd15f4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000012,310e14eb-974a-4770-9a95-ff4984f2a085,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000013,349cc677-fb98-4e53-989d-d20695c4e225,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000014,29fedad6-9edc-4c24-b066-84b89dd9ad93,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000015,d66b60ca-edb5-4427-a8e1-f19299af3384,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000016,007602fa-7bf2-4628-ae26-5447ee66e0f8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000017,f71614f4-7b6a-47fc-a363-2cbcc3842590,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000018,7c89af0a-06ce-4225-b0d4-6714945a291d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
7f60dce5-8086-438f-a74b-ff3f6e5e5238_000019,75804e80-3c98-4566-8c8e-227aaaadb987,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
