event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
8025a19a-9b69-47f5-9ece-3c403890cddb_000001,19c62ccc-2da9-4dfb-b2c3-f29cc8264a78,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000002,bbe0f9c1-49f3-4b1e-a968-d3afa595f18e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000003,2b3a93fe-c12e-400a-8bc5-44ad02bec229,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000004,d7f3eb06-5dae-4e01-bd94-a5712b6c1b03,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000005,04f80502-795a-4901-a096-db43be1c40a7,promotion,2025-1,87,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000006,0dcb4c79-0855-4f2a-b578-d82f9eff1bf3,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000007,2d681fef-e269-428c-9ca2-a762a9f6c568,promotion,2025-1,30,12,C,Consultant,Stockholm,C,M,CAT12,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000008,4c1085dd-de1f-4fa6-aed1-279589792682,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000009,632d7b0d-1741-4dd8-9374-e4ef4af8cce7,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000010,10ae1d62-0a23-4f64-934b-53f6a10f5f71,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000011,6d275a65-5c15-48b7-841a-6d7306a064c9,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000012,825c513d-1942-4861-a0e0-02a7b2b7d5bd,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000013,c985fbd5-a3ab-46af-ba7e-d1a8c77c8270,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
8025a19a-9b69-47f5-9ece-3c403890cddb_000014,62b434d6-ed34-46a1-b5d9-b84571c3d495,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
