event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000001,6ad934a9-fa16-4adb-9631-a1a447df84e3,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000002,24b91cfe-3273-418b-9a8e-963b8b62f67c,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000003,ab0c6ef3-c6a4-45de-99f9-fb52f398c182,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000004,57ffb2d3-3b60-4a8c-a905-ce4fc97b41a8,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000005,9042a6a3-920a-4b20-b068-445d03bc04fc,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000006,05f2e667-4a83-4495-8ffe-9a0d26a13273,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000007,1c555bf7-1b68-4011-bcf0-3955260caf2e,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000008,47adccb6-3c62-457b-9e84-f4afa01a832b,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000009,f845933e-d67b-42f4-80b0-a5e14b9cdb86,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000010,8a1a4098-1246-443d-96f3-14871a7e09fe,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000011,b895896b-123e-4fdd-b84b-1e1d8bbe2e9d,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000012,c0d2b78a-2847-46d6-8053-d540a208f065,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000013,9f047efd-a601-466b-a195-3a1b43d3e053,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000014,a13c17a3-0c7d-4cc8-9f20-8b4be50daf1b,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000015,499d32e9-ac6d-414d-83c6-beb64a4e2478,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000016,c6fb69f7-5027-43b6-954c-6473d5dbdc75,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000017,daec6de0-7c06-4682-a051-58d75dba6277,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000018,ad2adc03-20f0-4304-b1dc-4f9867b48cb5,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000019,e0ecdf40-647d-4346-9d1c-aafc5ad77146,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000020,52377bcd-844f-4515-ac72-a442911faaf8,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000021,c04bfa1e-5525-43be-84f8-bc09ffbfca20,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000022,e0ea3f4f-db97-4100-870d-591bdc3a24f4,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
805e6477-42aa-4c40-a199-d9c7e8cb16ba_000023,4f7c239d-fe02-490e-b5a9-86404c92ae46,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
