event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000001,c8affde2-42c1-4e45-93fa-25c2ae374e7d,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000002,09320cae-969f-48a9-aafc-cd66d9e4a13c,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000003,2157c39f-5030-41e5-882d-d7ce7e4066b7,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000004,30d52b6d-d955-4208-9a16-0df16682fd36,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000005,66b26e9d-2e10-4f59-a6cf-a303249338d1,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000006,bfab573e-cc24-4a6d-9802-dcbf2819ad76,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000007,fcbcac44-e5bf-49e0-876f-2b434f23ed13,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000008,b2c5ea6c-86bf-4dd4-b5aa-e38ff7353838,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000009,95d5cc04-1ffb-445d-a103-c7a5f111a472,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000010,c9ea942b-f9f2-4fb2-8884-b1ae6a7a34b3,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000011,3bcb1b6e-6c8d-47f0-8d4c-54bde8956ec6,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000012,2838385b-cfb2-4a2d-a76f-b30f9f668fdb,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
80cca2f9-49f0-4a08-b7db-bf5e20b8c46b_000013,09d1557c-57fd-451d-b068-2211ba864d91,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
