event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000001,84e62d7a-e60f-4aab-be1c-4db7aa200552,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000002,bc23d471-ca02-4dd0-ae31-64b62e16c9dc,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000003,1291618e-9824-454e-b2d6-ddfe3006a87f,promotion,2024-1,81,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000004,50c12009-391e-494e-9163-08613dd9cd89,promotion,2024-1,84,34,AM,Consultant,Berlin,AM,M,CAT30,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000005,cfc86b69-2b21-4f2c-81f5-232f7533ab32,promotion,2024-1,128,31,M,Consultant,Copenhagen,M,SrM,CAT30,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000006,051880fb-56e0-4289-a5cd-1f9484be708a,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000007,9875b92f-75c3-4cb1-a818-282f2d484e80,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000008,095cbf26-599e-4c8b-b948-0f4de6c1af07,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000009,18b4234e-69b0-4a66-ab5e-276e6001c3ce,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000010,25c83de4-e5af-430e-a407-f7a863de7291,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000011,fbcb751c-3ac5-47a3-a65c-ac10ba9694de,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000012,657dadb0-65be-42ec-bf5d-11c95de9c0be,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000013,48b1f489-22dc-428c-8091-f348b2e65220,recruitment,2025-01,4,3,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000014,16ae4f9c-b819-4857-83d8-46dcb50bef2e,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000015,4618acf1-345d-4150-95c8-ca1043fc5f75,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000016,0fa2e019-f5c2-4522-a025-d9c0a88fae13,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000017,3ff371af-540f-49b8-a774-f365597efcd1,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000018,1f04510e-57bb-477d-a313-b1acf34dd5b1,recruitment,2025-01,4,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000019,f5659bec-cbe1-483e-8e3f-443540a299dd,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000020,9b7543ca-f214-4228-a05b-d4926deaaf61,recruitment,2025-01,5,4,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000021,14fc3a91-1c70-41eb-9f35-eb9c5f0be51e,recruitment,2025-01,3,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000022,20644408-2935-4aab-beb8-d777b4821a69,recruitment,2025-01,3,3,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000023,5ecff608-547b-4c2e-90d3-8b483dd2195a,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000024,b31a3f6b-18f1-4a8b-b512-80b1ce7b9d3e,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000025,afdb80b8-cfb3-421b-b057-2dee9157ae27,recruitment,2025-01,6,6,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000026,3bbf444e-66e1-4e8f-bc6e-4d1965466b35,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000027,c8d990b2-b078-474f-a287-e236b5101695,recruitment,2025-01,3,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000028,2d83fead-0b9a-4900-a95e-5b634701bf9a,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000029,6bf717b1-e1c8-47e1-96aa-6fc525d9c41a,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000030,6810b8ea-d48b-4c4f-a8a6-7586274e4168,recruitment,2025-01,2,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000031,ad0672d4-aaed-4bc7-9f0f-72291d75ddf8,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000032,77d0d978-d6b9-49d6-976c-22ddfd42a1ce,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000033,7409e560-ffd1-4bab-8f3f-ed074ef45696,recruitment,2025-01,6,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000034,5e6a6e03-e21d-4c38-b869-80c9e6294da0,recruitment,2025-01,4,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000035,881ac2e5-d320-4809-a76b-14c7b402168f,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000036,cb92b44f-8732-4e72-a611-6f4a03a6206a,recruitment,2025-01,5,3,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000037,12d76580-ba28-48a1-b05c-f977757ca34b,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000038,77f5718d-6dc4-4fd6-b314-e5882914d02f,recruitment,2025-01,3,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000039,2001543c-d4de-4acc-aeb9-e63aff5c7f64,recruitment,2025-01,4,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000040,042d6998-595b-4248-b36e-1bf506959d20,recruitment,2025-01,6,5,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000041,ac4c728f-5802-44a1-ac71-32e91884563b,recruitment,2025-01,4,4,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000042,b313331a-ee0a-45ab-be14-f494b23c0710,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000043,4a05afd6-b98f-41d4-99fc-49fddd691de4,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000044,1a22d2ca-80d2-4301-b21e-527f8e0170d2,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000045,b0127926-80ff-48c6-8eb4-d1291f13ff1b,recruitment,2025-01,5,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000046,45accd53-6cd3-4fa1-bfe4-717c0f542135,recruitment,2025-01,6,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000047,0eba0492-b948-4257-9ea0-88499257746f,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000048,4eb15ce9-69e9-4b58-ad62-3218db67b288,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000049,a897041b-675a-4efc-bc4e-e5c460e0f57c,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000050,9c2767a3-054d-4ee7-b64e-2149e10598c1,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000051,b3b05bf3-1317-43cd-b1e0-5c102bf63bd3,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000052,000edefc-58e5-4413-8aa7-07f234159d77,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000053,f62992a2-e8c7-4767-8d08-226e3995d932,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000054,b52c88fa-ae70-491e-825c-14f2e6de20a9,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000055,1b35d1e0-ac3a-4684-a451-02511db94dea,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000056,84b8499d-887b-4132-8ebc-eaab45e2a660,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000057,e5d205e5-b0d6-4c65-9bbe-82454108967d,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000058,272e2a95-0db5-479d-b961-5ba4f9127f9f,recruitment,2025-01,5,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000059,b5469da7-441f-447b-bb9d-4d83cd5f45c1,recruitment,2025-01,4,4,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000060,5b13c93d-44bb-4c04-b9e0-b7fea805be92,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000061,083dd4e9-6e55-4795-9d27-e033829210af,recruitment,2025-01,3,3,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000062,4e007616-ec78-497e-ae99-267426154cd3,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000063,527110f9-640a-496f-8d1e-b2cfcb7e1f2f,recruitment,2025-01,5,4,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000064,308adf3c-d740-4b28-bd90-0b059ca06269,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000065,4b247d91-8cdb-463a-a283-81c3e0ddd121,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000066,e663b0f3-f057-4f1a-8a78-7385479f1f00,recruitment,2025-01,6,6,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000067,2c1d116a-d64e-4790-8390-65f7fbbb3a09,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000068,7ac265cb-98cc-4ec6-870b-a6a2fd31afe2,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000069,db658ff2-c1c8-4c00-9a3c-c92bea25021a,recruitment,2025-01,6,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000070,9821ece5-fd2e-4207-83fd-b762e23bb521,recruitment,2025-01,3,2,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000071,c9d7613f-b720-4108-bfb2-45ee0b044eb8,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000072,02096139-6dad-4889-af19-59aefb7de528,recruitment,2025-01,4,4,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000073,c2b821e6-4012-4fe9-9fe0-2c8c002df041,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000074,bfbcede3-5b5b-4e9d-a809-ab588e5dcca1,recruitment,2025-01,5,3,A,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000075,f07d48df-b82d-46ce-a9ff-f7ccd8a02e91,recruitment,2025-01,12,6,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000076,517764cb-06b4-4cee-b57d-20c7afcd23c4,recruitment,2025-01,8,2,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000077,7d6550c1-bfc0-4631-b90d-ab689e5f1e6e,recruitment,2025-01,8,2,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000078,d4dd789b-60dd-494d-84ed-5733ee49ff58,recruitment,2025-01,14,8,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000079,a9c8291a-fb0f-425d-93bc-e6741308de93,recruitment,2025-01,10,4,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000080,5b8c14f3-040a-4b73-bdcb-76f04121cbde,recruitment,2025-01,12,6,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000081,1f66f215-4231-4d2f-80cc-bc572ab855b6,recruitment,2025-01,12,5,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000082,61a03d74-b274-4b7c-b550-50c0d6f347f7,recruitment,2025-01,9,2,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000083,19f85325-9a17-4a7f-b76f-0e6f8670bf50,recruitment,2025-01,14,7,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000084,f9391d89-33b2-445c-b90e-dbd9e03b8560,recruitment,2025-01,7,0,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000085,d2f5f94f-e170-4554-b70b-c203d9fab851,recruitment,2025-01,7,1,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000086,f5963b26-1d5a-4783-bbac-5c58f32b4b93,recruitment,2025-01,8,2,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000087,6c617580-a535-4306-bcdc-d1be29650c10,recruitment,2025-01,15,1,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000088,71fc5c9a-d325-4743-bdab-7e51f73cb20b,recruitment,2025-01,12,6,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000089,2f8f17e8-5b49-4e40-953a-205d92305ea5,recruitment,2025-01,15,7,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000090,08e19f83-89c4-4c38-b0e2-0e0db57c9a9a,recruitment,2025-01,14,4,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000091,2e6052da-3c28-491a-9ed0-57650f4b7656,recruitment,2025-01,14,0,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000092,195c6c12-53e9-4f66-bfb2-3d8aef6b841f,recruitment,2025-01,7,1,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000093,7072cb2e-1ef2-4971-bc95-c08776714d30,recruitment,2025-01,10,4,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000094,4cf28d39-2eef-43a9-9e41-3f116716f33f,recruitment,2025-01,7,1,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000095,eb46bdbf-7c4e-4f8e-bfaa-1d22dc909921,recruitment,2025-01,12,2,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000096,f1c9e46a-1540-420a-84a8-94ccac81817b,recruitment,2025-01,13,0,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000097,629d717a-f3b8-4825-b244-6d22f3aa8efb,recruitment,2025-01,10,4,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000098,7703b943-4b3f-40ae-ae94-c74d5fb026b9,recruitment,2025-01,8,2,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000099,8ab053b2-4f5e-42dc-8a52-e130caaa98c6,recruitment,2025-01,7,1,AC,Consultant,Stockholm,,,,,,
81c42f66-9b95-429a-96c5-69ef1a4f78d2_000100,e8e37ae1-aae9-413f-b41c-b18b3d4a0184,recruitment,2025-01,14,8,AC,Consultant,Stockholm,,,,,,
