event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
823682ec-1651-4a17-b368-3dfc35882d73_000001,50cb41f9-48fd-4344-a9e6-b0413fc52c2f,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
823682ec-1651-4a17-b368-3dfc35882d73_000002,20fc6af8-a968-4379-a8b7-38df911a3d87,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
823682ec-1651-4a17-b368-3dfc35882d73_000003,3e4ab7bf-be1b-4af5-a385-51a94c04190b,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000004,f477a0c1-1c74-4ae1-98cf-da5fd3c25aee,promotion,2025-1,95,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000005,f21225c8-10a2-41f2-8e72-7b8354c30da5,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000006,f46551bd-1d07-4cb8-b8b9-22cb4c6de4e0,promotion,2025-1,87,36,AM,Consultant,Stockholm,AM,C,CAT36,,,
823682ec-1651-4a17-b368-3dfc35882d73_000007,3c8e8992-5aa9-499b-a9db-e5e815ec9f14,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000008,9a94d2f8-4309-46c2-a0eb-36d587ceb1a1,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000009,9df2fb85-0f93-4301-b675-565c4ef88789,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000010,6606ba33-cc5b-45c8-a8f4-784f1889fe3c,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
823682ec-1651-4a17-b368-3dfc35882d73_000011,3aad16e4-efd3-4087-84b7-b7d8eebef557,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000012,4d886b59-006a-4a72-b532-bb1ac080899b,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000013,e8a5f1da-310b-430d-8991-03b354faa73a,promotion,2025-1,144,35,M,Consultant,Stockholm,M,PiP,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000014,1c463dd6-4324-4e2d-9e37-3db5c804b38a,promotion,2025-1,51,18,SrC,Consultant,Stockholm,SrC,SrM,CAT18,,,
823682ec-1651-4a17-b368-3dfc35882d73_000015,b6ee588d-cc7b-4cc2-8e70-294357be5930,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000016,ce86153f-bab8-4fc5-a539-b0bb610d8311,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000017,605e2d8d-c022-4e94-bf1e-4b2c896ec309,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000018,75efa13c-6ebd-4aa8-b942-8aad950d3919,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000019,e2b5a7f7-6483-407d-8a97-d0ab1738e08b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000020,98a52655-050a-449e-a9e2-80b9b1395275,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000021,124cf5e1-e0ed-4684-938b-ee2cc36e094c,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000022,ff801e86-3894-4530-a5e4-a3422ee649db,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000023,5b7093ff-64e6-45c2-86af-a23f5053fee6,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.05
823682ec-1651-4a17-b368-3dfc35882d73_000024,922dcf8c-34fe-4c20-9e9d-134e2350465a,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.05
823682ec-1651-4a17-b368-3dfc35882d73_000025,fc167f86-5d82-4ccc-9482-254e388906cf,churn,2025-1,66,11,AM,Consultant,Stockholm,,,,,0.0127,
823682ec-1651-4a17-b368-3dfc35882d73_000026,2d95dea8-997a-4abb-ba95-565ae985cee0,churn,2025-1,84,0,AM,Consultant,Stockholm,,,,,0.0127,
823682ec-1651-4a17-b368-3dfc35882d73_000027,84f83c5c-0415-4a2a-84c8-0b7b7ced779e,churn,2025-1,15,0,C,Consultant,Stockholm,,,,,0.0173,
823682ec-1651-4a17-b368-3dfc35882d73_000028,598c9d9a-d6d8-4ed7-b503-bbd9c3be5064,churn,2025-1,25,5,C,Consultant,Stockholm,,,,,0.0173,
823682ec-1651-4a17-b368-3dfc35882d73_000029,f55b0f5c-918a-4244-84a7-c81966aba3d1,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.01
823682ec-1651-4a17-b368-3dfc35882d73_000030,9719f86d-6f6a-46da-b7eb-57fb7ab8e2b0,churn,2025-1,46,13,SrC,Consultant,Stockholm,,,,,0.0173,
823682ec-1651-4a17-b368-3dfc35882d73_000031,73dc3e2a-253b-4180-ac9d-437b9716a884,churn,2025-1,43,8,SrC,Consultant,Stockholm,,,,,0.0173,
823682ec-1651-4a17-b368-3dfc35882d73_000032,9ca041e7-79b6-4064-868f-6d563c022705,promotion,2025-1,32,17,C,Consultant,Munich,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000033,2cd957f3-59f8-4e56-8075-de4ec8415726,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000034,d4ff7fd3-d15e-4659-8366-a2bb3da1e584,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000035,d914b5ae-5fce-49ff-a1c6-937ea8da2654,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000036,e852515c-edb3-4233-b38e-5e1d2906ff3e,promotion,2025-1,33,18,C,Consultant,Munich,C,SrC,CAT18,,,
823682ec-1651-4a17-b368-3dfc35882d73_000037,437db729-769d-4070-8456-6e73c9b47067,promotion,2025-1,93,34,AM,Consultant,Munich,AM,M,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000038,55c7af1f-7246-4aef-a1ce-93c6c77b4e2b,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000039,b036dd4d-d7ad-40cd-84f6-51c277fb676e,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000040,5caca0e3-3f17-4fc1-af82-490a3f112cef,promotion,2025-1,129,31,M,Consultant,Munich,M,SrM,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000041,1b609660-3405-457a-acf6-78ef696be9bd,recruitment,2025-1,0,0,A,Consultant,Munich,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000042,2ffa663d-5a38-4690-8469-96771adada32,recruitment,2025-1,0,0,A,Consultant,Munich,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000043,ed54a8a1-8b7c-4eb4-a1b9-e2129da25f61,recruitment,2025-1,0,0,AC,Consultant,Munich,,,,,,0.05
823682ec-1651-4a17-b368-3dfc35882d73_000044,8e6fd088-6138-4a7b-82bd-3e3ee521dc51,churn,2025-1,43,7,SrC,Consultant,Munich,,,,,0.0173,
823682ec-1651-4a17-b368-3dfc35882d73_000045,e413eefd-a9fd-4060-a4c1-74c6832681f5,churn,2025-1,98,6,AM,Consultant,Munich,,,,,0.0127,
823682ec-1651-4a17-b368-3dfc35882d73_000046,1502e3bf-74d3-4316-80c0-1e6e1a7bc310,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000047,c5a944e9-b637-4892-abab-83cd4ef423f4,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000048,2aed466e-bae6-4d29-895c-84faa844d02a,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000049,a5a3f314-60e7-4ece-9459-81e5279453a5,promotion,2025-1,86,30,AM,Consultant,Hamburg,AM,M,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000050,445fe706-8ccc-49a8-8ade-d727f3814ed3,promotion,2025-1,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
823682ec-1651-4a17-b368-3dfc35882d73_000051,d27085ad-a269-42b9-bcb2-c6e21ef11500,promotion,2025-1,28,13,C,Sales,Hamburg,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000052,17901c7d-e874-4251-acfc-697242ce467a,recruitment,2025-1,0,0,A,Consultant,Hamburg,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000053,9a8ba2f9-4c66-4bfa-a27c-a174ea5b2e53,recruitment,2025-1,0,0,AC,Consultant,Hamburg,,,,,,0.05
823682ec-1651-4a17-b368-3dfc35882d73_000054,089c0009-b474-4919-854e-1643505a6e07,promotion,2025-1,29,12,C,Consultant,Helsinki,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000055,cdd566c1-43c2-40b0-8eec-79fb4fbedd22,promotion,2025-1,96,31,AM,Consultant,Helsinki,AM,M,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000056,6dc21654-b493-41b8-aa6e-2608e5e4eb42,promotion,2025-1,80,30,AM,Consultant,Helsinki,AM,M,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000057,b93926c5-ff0a-4efc-baf5-b3c8aaf2895c,recruitment,2025-1,0,0,A,Consultant,Helsinki,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000058,bc348fa0-32eb-4bd4-8356-56bb21a7270b,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000059,eeaa7fdb-b48a-4a85-9608-c066bdb86a72,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000060,43a43fc7-7eaa-4dd3-8235-a5dab7db1115,promotion,2025-1,29,12,C,Consultant,Berlin,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000061,e227ede6-925b-4f43-aa34-a5b6ad49dce4,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
823682ec-1651-4a17-b368-3dfc35882d73_000062,32ae7e6b-9e27-4d67-9670-74124f3f561a,promotion,2025-1,132,33,M,Sales,Copenhagen,M,SrM,CAT30,,,
823682ec-1651-4a17-b368-3dfc35882d73_000063,3a18b559-39cd-4235-a89e-c618d89bc9c5,churn,2025-2,5,1,A,Consultant,Stockholm,,,,,0.0128,
823682ec-1651-4a17-b368-3dfc35882d73_000064,07e77639-3301-4a64-9100-f041ed5f3f14,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000065,5691fb5a-134c-4a5b-97e4-dfe39c064bee,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000066,62d56f69-d492-4bd2-b0ca-f8e93bd585c3,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000067,a135d403-3033-4211-ac13-e34ef7fa1e17,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000068,0e096d37-2b95-4376-8a6c-ab93490735c0,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000069,b13a0a98-e703-4965-8ce0-8b401ef092d5,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000070,eee0f471-6220-4768-936b-c252815e6602,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000071,e5dcc62f-f2e2-4de0-8278-bfff8c7d1a7d,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.12
823682ec-1651-4a17-b368-3dfc35882d73_000072,b945d1e2-7095-4b76-aa77-59ec93ca08fd,churn,2025-2,15,3,AC,Consultant,Stockholm,,,,,0.0153,
823682ec-1651-4a17-b368-3dfc35882d73_000073,a988559e-57a8-466a-ac10-43df4b352b0d,recruitment,2025-2,0,0,AC,Consultant,Stockholm,,,,,,0.05
823682ec-1651-4a17-b368-3dfc35882d73_000074,8e0d6989-fc52-447c-b424-3dff489fc11a,recruitment,2025-2,0,0,AC,Consultant,Stockholm,,,,,,0.05
823682ec-1651-4a17-b368-3dfc35882d73_000075,37433950-8f8a-4974-b64c-19fbbaaa0500,recruitment,2025-2,0,0,AC,Consultant,Stockholm,,,,,,0.05
823682ec-1651-4a17-b368-3dfc35882d73_000076,9c91b1ec-a90a-42ba-b7fc-a3836987be20,churn,2025-2,54,3,AM,Consultant,Stockholm,,,,,0.0127,
823682ec-1651-4a17-b368-3dfc35882d73_000077,16551ddd-6936-484b-b20e-d68986fa2a3f,churn,2025-2,93,22,AM,Consultant,Stockholm,,,,,0.0127,
823682ec-1651-4a17-b368-3dfc35882d73_000078,80e48f65-7c05-491d-bdde-1d1973a13e3c,churn,2025-2,28,9,C,Consultant,Stockholm,,,,,0.0173,
823682ec-1651-4a17-b368-3dfc35882d73_000079,0d906275-0a94-4ac1-b0da-1bb3abd16564,churn,2025-2,19,4,C,Consultant,Stockholm,,,,,0.0173,
823682ec-1651-4a17-b368-3dfc35882d73_000080,bbf4cc6a-c6e7-4cdf-a446-0871c88f9829,recruitment,2025-2,0,0,C,Consultant,Stockholm,,,,,,0.01
823682ec-1651-4a17-b368-3dfc35882d73_000081,fa56431e-0f3f-4e0d-b158-94024df6dcd0,churn,2025-2,44,11,SrC,Consultant,Stockholm,,,,,0.0173,
823682ec-1651-4a17-b368-3dfc35882d73_000082,1f651f67-5cd5-4ed3-8d76-16d9d50c064c,churn,2025-2,51,16,SrC,Consultant,Stockholm,,,,,0.0173,
823682ec-1651-4a17-b368-3dfc35882d73_000083,f809e4b0-e193-4a4c-aa86-25c3c22841be,churn,2025-2,34,1,SrC,Consultant,Stockholm,,,,,0.0173,
823682ec-1651-4a17-b368-3dfc35882d73_000084,4288cf14-4772-4721-8ef9-3a650db334b7,recruitment,2025-2,0,0,SrC,Consultant,Stockholm,,,,,,0.005
823682ec-1651-4a17-b368-3dfc35882d73_000085,3b362720-6354-466a-bba1-b0597417e966,recruitment,2025-2,0,0,A,Sales,Stockholm,,,,,,0.12
