event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
859218c3-731e-47e6-9720-c190710dc2b3_000001,a694c79f-912c-485b-9cb5-ee84426ee7fd,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
859218c3-731e-47e6-9720-c190710dc2b3_000002,a49bd298-4495-4c21-b5d9-1d5bf978c6cc,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
859218c3-731e-47e6-9720-c190710dc2b3_000003,d9fedb20-4eed-4aaf-8e42-a0b5a292c301,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
859218c3-731e-47e6-9720-c190710dc2b3_000004,18a18010-43ef-4628-b8dc-d7ff2565bfc9,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
859218c3-731e-47e6-9720-c190710dc2b3_000005,6a975436-a4f2-434d-b928-83e323016bbc,promotion,2025-1,87,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
859218c3-731e-47e6-9720-c190710dc2b3_000006,bb2bf550-f8b0-46e8-8fc5-05341bbe8be9,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
859218c3-731e-47e6-9720-c190710dc2b3_000007,8769319a-c2bd-4714-ab7a-484f767938d0,promotion,2025-1,30,12,C,Consultant,Stockholm,C,M,CAT12,,,
859218c3-731e-47e6-9720-c190710dc2b3_000008,bef77282-af0f-43da-8482-cf66b6a06bdf,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
859218c3-731e-47e6-9720-c190710dc2b3_000009,836f27cd-96d1-4e43-b022-a9336b527995,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
859218c3-731e-47e6-9720-c190710dc2b3_000010,66443806-d217-4923-a0ae-522854a50ef0,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
859218c3-731e-47e6-9720-c190710dc2b3_000011,d5b03729-3b41-400c-8de6-efe034680408,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
