event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000001,9ec595dc-485f-42be-9de5-d21fb171bbaa,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000002,b7504bad-e65d-4ef3-b5af-5b04e7d8d6c2,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000003,2877c9bb-9173-4f7b-b0c8-e853a70abd89,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000004,c1839798-529b-4afe-aaed-6c4863e2b7d7,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000005,df91c4fb-4ac6-404e-b866-1f4740846467,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000006,1591af73-d2a6-4f7b-bc64-9b9fe1e90ff9,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000007,bbcac95c-cc5b-4b88-9305-b78a3a79bcd8,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000008,1cbe1ce6-561b-4bf5-98d5-29e9dd69b0a6,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000009,0f015974-29b5-46d6-95f4-eb6358546bc3,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000010,371a781f-b2df-436e-8ca5-6d18424a3bd4,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000011,143ef010-8678-4c91-85cb-c0bdc064109e,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000012,8387862c-284d-49d5-b59e-b096fc1f5f14,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000013,43867101-1482-4ae3-b691-7b344e0c2564,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000014,49d20968-3390-41fd-82e3-447645029e18,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000015,fc0c0b31-52be-466d-b0a7-41118d5113ed,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000016,f23fb575-388b-4659-845d-c5d3ec49a073,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000017,cd02a8b6-aab3-4f87-965c-ca082b961cf9,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000018,d0305c5e-3aec-4420-a672-2de1205fbc33,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000019,e8128d76-e396-4ab6-9a30-6121b66a7904,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000020,774f7fde-a053-4992-bb73-e2c6e4a6a4d0,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000021,1219c804-2c16-408f-83e3-55a930ce9567,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000022,41c2698e-dc4e-49dc-a5ff-7f77be43c016,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000023,93f786eb-aae7-4db0-b5b5-9c79bd2ccf80,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000024,d7d3eb64-a16a-40a3-9ae2-a83c356241e7,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000025,fff29136-c6f5-4e02-b167-e3b14115c274,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000026,ed3412b2-5430-448f-8f46-6f68e33fb8a6,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000027,3d252f41-cbc5-4ebb-b1f1-f15402e7b771,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000028,092ccf9e-b98a-4323-a08f-f46677fac6ce,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000029,24ac7157-989a-4ec0-9ef3-1ace631ddf5c,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000030,1f99b381-f67d-4944-8147-5f43297d761e,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000031,93d897eb-0521-41d0-8647-97aa1c5c099e,promotion,2025-1,24,24,C,Sales,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000032,d44b7797-bc1b-4ce4-8577-e796eb13b594,promotion,2025-1,24,24,C,Sales,OfficeA,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000033,2f59ef98-07f5-4018-b1a6-258fa0b58296,churn,2025-1,24,24,C,Consultant,OfficeA,,,,,0.02,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000034,12289fea-383f-489f-ab93-ab121b017d7c,recruitment,2025-1,0,0,C,Consultant,OfficeA,,,,,,0.03
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000035,fe64e1f1-1b36-4bde-a7c0-d89f7c9ff3b1,promotion,2025-1,24,24,C,Consultant,OfficeB,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000036,127f6e27-12b5-4df8-80ef-7eff590dd8c4,promotion,2025-1,24,24,C,Consultant,OfficeB,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000037,4b83c437-5354-4902-be3f-5e278ad30a1d,promotion,2025-1,24,24,C,Consultant,OfficeB,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000038,d47106eb-0ab9-4402-b313-2c40c1c60ae1,promotion,2025-1,24,24,C,Consultant,OfficeB,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000039,1079a6b9-c9da-4d4b-8097-2860d0d5aae8,promotion,2025-1,24,24,C,Consultant,OfficeB,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000040,cc726c21-89c8-4968-8273-fadd676c0229,promotion,2025-1,24,24,C,Consultant,OfficeB,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000041,35c9e529-09d0-4926-9cee-7fb2fc489f40,promotion,2025-1,24,24,C,Consultant,OfficeB,C,SrC,CAT24,0.278,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000042,47a42ec5-402e-426a-a12c-62eea955987a,promotion,2025-1,24,24,SrC,Consultant,OfficeB,SrC,AM,CAT24,0.211,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000043,c413206b-4ffe-4621-96cd-b50e4a273d32,promotion,2025-1,24,24,SrC,Consultant,OfficeB,SrC,AM,CAT24,0.211,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000044,2a9bdfd8-f82a-47d3-a4f9-745833c9e99a,promotion,2025-1,24,24,SrC,Consultant,OfficeB,SrC,AM,CAT24,0.211,,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000045,1a11c890-0655-403a-8931-0be6c8572006,churn,2025-2,25,25,C,Consultant,OfficeA,,,,,0.02,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000046,96d6f9fd-f362-4692-8957-f47b3710c0b4,recruitment,2025-2,0,0,C,Consultant,OfficeA,,,,,,0.03
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000047,15eda7d1-d1a6-49f4-8bf9-52ade7753ada,recruitment,2025-2,0,0,A,Consultant,OfficeB,,,,,,0.03
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000048,05a2e0e4-9513-43ca-90ca-4edad0693286,recruitment,2025-2,0,0,AC,Consultant,OfficeB,,,,,,0.03
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000049,25950ccc-ea82-41ab-9604-8b29c3e142ab,recruitment,2025-2,0,0,C,Consultant,OfficeB,,,,,,0.03
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000050,c3399df7-6d20-4e03-8af7-230eb147f032,churn,2025-3,26,26,C,Consultant,OfficeA,,,,,0.02,
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000051,2dd786df-e825-479c-8ec4-a060111cac13,recruitment,2025-3,0,0,C,Consultant,OfficeA,,,,,,0.03
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000052,6bd7d2e0-3abd-482d-9817-70519d912b9e,recruitment,2025-3,0,0,C,Consultant,OfficeA,,,,,,0.03
85ab8fd3-dd61-411a-aa91-b16ea10ec6f5_000053,a500f2ec-2544-45d9-9e5a-d76ee472db85,churn,2025-3,26,26,A,Consultant,OfficeB,,,,,0.02,
