event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
85afbac0-4824-4477-b075-f08b2812b8e1_000001,99061f48-405a-4d80-a994-448f068c26fd,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000002,b6067170-e42e-4493-a37a-a7755dd5ebea,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000003,01ac678a-6c2b-4e93-8ccd-7b05b19df5d8,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000004,a587d34c-6f25-4c32-885a-eb7b44561789,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000005,32f94d90-eb07-4e20-9d65-51465d4e30c1,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000006,6bbf02ca-c71b-460d-9fd6-7c05b436615f,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000007,2a75bef8-6041-4eeb-88a5-3729ebb17aec,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000008,3edba0e5-a259-472c-88ca-c874b7be4265,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000009,9dbe9940-69e8-4bdf-aac3-1a27a30d8a85,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000010,970eccae-1b5c-479c-8799-88ff69bd79ea,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000011,a48fba1b-7fbe-4a10-867a-bbc6ba112520,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000012,33f3709d-fcc2-4de9-9fc3-d4e161c6f046,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000013,46bba96e-2a7f-4ceb-8352-1c9bb653cb72,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000014,5987f9f9-1e6e-48b0-a76b-62a91d3dc1b7,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
85afbac0-4824-4477-b075-f08b2812b8e1_000015,8879d994-13f6-4259-81b3-5643377aae08,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
