event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
871b62eb-e202-492d-8ac8-da5adc535bcf_000001,2686caca-fce4-4889-bcb1-069762b490a1,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000002,4e0fe04b-0525-45f7-9025-8f4b7f8caa5e,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000003,930d7952-5910-44c0-8566-f079f0aba697,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000004,b0eb3481-6cdd-4656-972c-8432420e56c0,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000005,805a6fb4-d15c-4275-bab3-f7152967a696,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000006,f4721333-7ff7-4515-9d2f-05f4d231c56a,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000007,17e9118d-5cfc-4dd5-9894-a758b3d3dc7b,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000008,357afedc-8e7d-4a35-af82-027bafe28000,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000009,b451c6de-445f-46df-99f6-877f414172ea,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000010,2cb7ffcb-7335-426f-b548-acdfb9d0c8f2,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000011,3f65cae8-8e14-41ae-879b-b88159d9b347,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000012,f1f4a169-a44d-47f8-950c-0010a2d7ec44,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000013,f354f74c-21cc-4fd3-836b-3707a62a8130,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000014,af732905-a0bc-4f25-8242-c7e607c3c804,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000015,85a4f12e-a691-4397-80db-da0f98fcc868,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000016,15da77af-c7df-4cd6-bead-add998d15500,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000017,74a9a486-53cc-4849-9911-2ca3b96d55e5,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000018,2eb87fb2-1224-4f84-8f99-6e7d4a15736d,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000019,2c5314a9-6032-498e-ac45-68a6c2dfb4c2,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000020,d2cdaf0c-e0e2-496e-a7da-1621734ed908,churn,2025-1,24,24,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000021,80e209f0-b0b3-4edc-9da4-e3766ad2bc8b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000022,23df1ec7-f202-4907-af09-d95962695a82,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000023,7d098f47-8b0a-4f09-b6bd-1c4654697410,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000024,02e4ad3f-6bd1-4499-8281-7d03f42b27ac,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000025,627b8efd-2cae-4917-bcf7-5167b2cef63b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000026,7603c99c-3b07-47ea-9eeb-fbe17ba6db48,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000027,6a2ab1e8-514f-4e1a-9581-a1bceed5fb97,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000028,5e420002-e0e4-4e68-935a-ce675ea97e8f,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000029,3472a772-95aa-421a-9316-932d42fd881d,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000030,d8a0fd08-5ad7-429b-8d37-51cb58a52f3e,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000031,f4fccdad-1612-45bd-abdf-627b1aee2bc7,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000032,d89b9693-4c27-40d7-911a-dc47fd1e84ab,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000033,169a4dd9-39cc-48c9-afea-79f14bab147c,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000034,db8a691d-ca23-4f51-a144-6c8343f91b73,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000035,84fbd3fe-8c3f-4d23-b64b-d14d861a57f5,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000036,5c03f35c-c056-4cdb-a23e-b778053276a6,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000037,e5c1ec05-9873-46bd-8b0a-4ad4806ca3bd,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000038,a7fc3c11-fa75-43c6-be96-da843bbd21d0,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000039,e9a50ee1-5465-45ba-b4ef-bb0030ae506b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000040,388fc90a-2f37-4c66-a5e3-96e6ede99198,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000041,4915a8f0-9e09-4abb-ab6c-3157f503f61e,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000042,7ed72c31-3abc-4573-a4db-680eef2f458f,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000043,9d2616ba-2831-4b7c-897a-c8e7e14458ff,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000044,fe5f6998-e234-4d7a-aef9-3aa6069f6c61,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000045,4e777607-d03f-47ef-81b7-d5902889845b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000046,55f16ad8-ffd6-48d4-bcee-0d530f2c9d29,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000047,c5a84835-0571-4112-83bc-c3005e073a6f,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000048,c0607c69-4bc9-47e4-80cf-6b293335a53f,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000049,ee92b9a7-00d9-4511-bdbf-312b811b639c,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.03
871b62eb-e202-492d-8ac8-da5adc535bcf_000050,26dd15c5-2fb2-4274-8383-4d99462286da,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000051,b09fac61-34f2-4bd6-a845-01caef52fba8,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000052,2b2b110c-9ef2-4ed2-a32f-86773cc02689,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000053,cc167ac4-da87-412b-8d63-c89aee90a6c4,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000054,3baa2e15-2f77-4bc3-95ad-d3f164f41a5d,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000055,97f62bf8-8797-47b0-9120-1d2e169f9afa,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000056,1bddb609-8c96-4dd0-8e16-c416dad0f5ea,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000057,e420df56-8c61-491f-bacb-e1bcec480406,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000058,bca51ccc-156f-4986-9122-58cfaab0ef52,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000059,def0f4bb-36c0-4726-8d55-4eb9132b099e,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000060,5515ad43-137a-4d68-b792-693022b18413,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000061,022dba85-d782-49ae-b4a1-b860311eedc0,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000062,a084cd93-3003-437b-b017-17951ffb5ffd,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000063,0a9aa5f2-f756-43e2-b0f1-08336a433b03,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
871b62eb-e202-492d-8ac8-da5adc535bcf_000064,26b7b2bb-839f-4795-9c27-9bf6c4f5ef5f,churn,2025-2,25,25,A,Consultant,Stockholm,,,,,0.02,
