event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
88d0bf76-a17c-4700-8632-fa653bd56dbc_000001,529aff26-d20a-4b44-97bc-d12e8f1ad39d,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000002,ecdbdcab-4bb1-4b52-9ecf-6c54d85ec9dc,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000003,1e98d43f-0778-43e7-a77f-5f4e2e894489,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000004,5c01c6a4-79c3-489f-9eb7-9bf0839f1ba6,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000005,ee1388d5-828f-40c3-9e34-70e513ce1cdf,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000006,926f59db-b8d0-4ce0-a552-1be69a7cca73,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000007,f275b0d8-5115-4ce6-85b7-01bf5a351ff1,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000008,fa2d0af9-4b00-430e-b0a8-29d7c4728c9f,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000009,a07803a5-f957-493e-8774-10b56f52476a,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000010,987cb091-41e1-402b-be23-c5ecf7199d42,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000011,7be949f4-1740-47a3-91ef-5551cdf2ff48,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000012,6dbba62c-e126-44a7-934a-31d27ce52733,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
88d0bf76-a17c-4700-8632-fa653bd56dbc_000013,ee6ec1b9-2d6d-4d3d-b932-0caed6747266,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
