event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
8a3a5020-1719-4074-9d42-76f63bb89460_000001,58130431-feee-4c73-b699-222623c6cc06,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000002,41ea0636-06b1-4d42-9d8a-2716c5906260,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000003,443759af-2c48-473a-a176-cf59f30a48c1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000004,59dcfbee-82fa-449e-aa89-7090acd623dc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000005,5c7c9486-284a-42bd-87e6-8cde33c7e8c4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000006,802b2580-7541-41e8-b0a0-a3676ea8d7c3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000007,db8fa534-a8dc-4408-877c-7f89dda25918,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000008,32bf8051-a8a1-44da-8cdb-98f5e53e6a77,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000009,650739e5-6a4e-4ace-8aea-86f8fc40fa39,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000010,900a57e3-6126-4113-ae5e-88d82657bb40,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000011,07323e1b-7d19-4824-ab51-a77b3ab57adb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000012,83fbe99e-4011-4b39-935e-f897e0a93f33,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000013,abdac2f4-7d01-41de-95fa-d8ccf2a7363c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000014,c993b012-7654-448a-b6e5-0e72a7cbe2af,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000015,1e61cce1-fc1c-4041-89a0-6546d4a7b126,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000016,50640b96-b76d-4dbd-9a6a-234dd8113680,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000017,0e2c2f24-663c-46c2-a5dd-3febf1ef0dca,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000018,7f200f05-28fe-49eb-9961-01e3c834ea90,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000019,f2925ca2-5dcf-4909-8464-341888239015,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000020,28b396be-56a9-4c5b-8b02-2967ed7d82a1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000021,7fdd9958-8c6a-4401-a559-95dda708238a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000022,60008f40-c42a-4cf9-abc4-ee96c7956507,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000023,f96695ad-c57a-497b-b2f2-67240552c1bd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000024,c0aae251-1a6b-4318-b623-f0dc304ce107,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000025,0c76c2d9-d09c-4600-b607-db8e7de007bb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000026,0b182cb7-0fc9-4b24-a92b-c8faac898670,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000027,2530160f-1925-44d8-b067-781a2b976fe4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000028,6a9f35c9-c2ab-4af2-9792-87f16c450cb2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000029,914139d2-b9d0-4ee5-873b-6304f5377373,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000030,d0e3ec7b-e2d4-4ad0-a90f-4a06c8e8241f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000031,f023d80f-b56f-4c95-b24d-8c7a48c5516d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000032,64a44069-0cd8-48c6-998d-df4883a26f9f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000033,a28e2001-106f-40ff-b40f-92db955030a5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000034,b02430d8-6a9a-4f9b-b0cd-24927532836b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8a3a5020-1719-4074-9d42-76f63bb89460_000035,e0effd73-fb3b-448f-b127-303e66df8d1e,promotion,2025-1,24,24,M,Consultant,Stockholm,M,SrM,CAT24,0.03,,
8a3a5020-1719-4074-9d42-76f63bb89460_000036,4f366030-6b3c-4efa-b87b-6a3a5fd29460,promotion,2025-1,24,24,M,Consultant,Stockholm,M,SrM,CAT24,0.03,,
8a3a5020-1719-4074-9d42-76f63bb89460_000037,4d24bf9e-fd4c-49b0-a3cf-d282a7e27117,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8a3a5020-1719-4074-9d42-76f63bb89460_000038,31a431f6-af60-4590-9eb6-242391175be3,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8a3a5020-1719-4074-9d42-76f63bb89460_000039,ae0f480f-2e2b-4da3-baf0-d9c62c50beaf,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
