event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
8a579f59-cee4-441c-a62c-e07b9db54d20_000001,e762c473-f643-455c-80d6-9917bb1c2af5,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000002,ed0e2fa3-8a2d-4e31-bd29-5801b225e94c,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000003,f9d163d5-2b19-4208-8db4-5afd8d689ae1,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000004,1177296b-7bdd-4ed7-ab83-89270a1f9b5f,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000005,8ee63451-d41c-46c1-be26-8cab65eaead0,promotion,2025-1,87,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000006,c3a78818-9fe8-4ae0-b2be-839c3a67dccc,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000007,47dd6881-cc1a-4b2a-8967-857dc415c13e,promotion,2025-1,30,12,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000008,b920e414-5349-49d1-a061-e6ca2aaa418b,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000009,ce9fddec-766b-4931-89c8-ccb147920693,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000010,d0c8e5e2-b294-4019-abc8-67a2e448b4c3,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000011,6fc21e98-b760-458c-b765-ac34f52996be,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000012,e1a5733b-87cc-4722-b6c8-a35c5f9f4563,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000013,acdf6b21-fbc9-4deb-9372-95fe654da112,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000014,ac397794-5461-4d5d-b4ad-7c3efebedaf5,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000015,ce4e1fbd-01ce-45bf-8ed6-2bbf97c6a8b0,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000016,38f9466c-df5b-4a05-82b3-4e4e79ab1df7,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000017,00e1ba6e-7b6c-4233-be1b-35859a30e41a,promotion,2025-1,29,14,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000018,107a72cf-1cf9-4b2a-bb97-d3d3728a084a,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000019,2fbe00d0-7bfe-4e2f-94ce-dcd199e27bf4,promotion,2025-1,128,30,M,Consultant,Stockholm,M,PiP,CAT30,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000020,b8730f0c-29e2-4ee1-a6c9-42e6c1b681e8,promotion,2025-1,93,30,AM,Sales,Stockholm,AM,C,CAT30,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000021,3a3fa038-867a-4a8e-a518-5f29248ae87f,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
8a579f59-cee4-441c-a62c-e07b9db54d20_000022,e31358c6-9a5d-40bc-beb8-4ed3e07c518b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
8a579f59-cee4-441c-a62c-e07b9db54d20_000023,25415839-c14e-442f-8675-5ee5d76ff3a4,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
8a579f59-cee4-441c-a62c-e07b9db54d20_000024,5db8a636-f56b-49fe-9ebb-9519862a7e20,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.0198
8a579f59-cee4-441c-a62c-e07b9db54d20_000025,ed749956-a057-4921-a220-1d1bf3641d57,churn,2025-1,92,27,AM,Consultant,Stockholm,,,,,0.0164,
8a579f59-cee4-441c-a62c-e07b9db54d20_000026,74d19542-4cbc-4fbc-9b9e-89973fc29649,churn,2025-1,89,36,AM,Consultant,Stockholm,,,,,0.0164,
8a579f59-cee4-441c-a62c-e07b9db54d20_000027,857b1f3d-4795-4895-ad76-f53d821ba9ad,churn,2025-1,24,7,C,Consultant,Stockholm,,,,,0.0219,
8a579f59-cee4-441c-a62c-e07b9db54d20_000028,7bc962a8-a848-4a83-8c50-866260885304,churn,2025-1,30,15,C,Consultant,Stockholm,,,,,0.0219,
8a579f59-cee4-441c-a62c-e07b9db54d20_000029,9f71076e-7eb3-4e95-8a08-48e42daec776,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.0097
8a579f59-cee4-441c-a62c-e07b9db54d20_000030,577cb22d-453c-4379-894f-a517bbc7dc6e,churn,2025-1,33,0,SrC,Consultant,Stockholm,,,,,0.0201,
8a579f59-cee4-441c-a62c-e07b9db54d20_000031,e560783e-381c-4241-9e35-463e5af782f0,churn,2025-1,38,5,SrC,Consultant,Stockholm,,,,,0.0201,
8a579f59-cee4-441c-a62c-e07b9db54d20_000032,7ef973f1-c4ac-4d01-a12f-9849a8b3871f,churn,2025-1,44,7,SrC,Consultant,Stockholm,,,,,0.0201,
8a579f59-cee4-441c-a62c-e07b9db54d20_000033,65cab5a3-add9-4175-9c8f-c59f4f17d9b6,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000034,fc8f4bdc-efc1-460a-9625-ceb98837af2d,promotion,2025-1,32,17,C,Consultant,Munich,C,SrC,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000035,4a73efcb-f684-4b2f-9071-64f791498455,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000036,ee54d559-ac2c-4030-a4f5-faf70199d504,promotion,2025-1,93,34,AM,Consultant,Munich,AM,M,CAT30,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000037,97d53f44-fec0-4b55-9067-6d64551fa2fd,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
8a579f59-cee4-441c-a62c-e07b9db54d20_000038,090ac9bd-d05e-4cf8-a54c-0bb2d5f873ce,churn,2025-1,19,4,C,Consultant,Munich,,,,,0.0219,
