event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000001,eabd4df5-c8b3-4454-be18-5fa4127d949a,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000002,5d35eb7a-0ea6-4814-8b70-3c6179579aaf,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000003,87a889a7-eabc-4756-aa2d-975d35565903,promotion,2025-1,95,31,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000004,2bfc18f1-2e56-4fb3-9d89-b4831b3fd213,promotion,2025-1,97,34,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000005,89e0d0cb-4685-4e4d-bbbc-44e2b5ca7c39,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000006,6ea8816f-9905-444f-9939-d3401cd76dcc,promotion,2025-1,31,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000007,0b792ff4-8cdc-43c3-bd51-2b538ec034a7,promotion,2025-1,32,14,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000008,5247d826-1ebd-4ee5-a87e-d3c526d790f9,promotion,2025-1,27,12,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000009,e2d646d3-8f30-44ad-89f5-bea223aed2b9,promotion,2025-1,33,18,C,Consultant,Stockholm,C,SrC,CAT18,0.597,,
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000010,bdccef33-5797-479b-b131-de083abeee93,promotion,2025-1,32,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
8aedd97a-05ba-46f5-b710-44b8c58b58e5_000011,0a0e4572-7d5a-4754-be08-82028bd26a90,promotion,2025-1,29,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
