event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000001,53f21994-a8bc-45ce-91b0-389bad38d8c0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000002,60b829ac-51e9-4ee1-95b4-b9a2ada0e364,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000003,85725c84-0056-439f-aaee-f66222d4a28f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000004,3d138d3d-d68e-4100-a669-db765c46abfc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000005,540d5c87-1d96-4fa0-8a13-0cd53f63eba8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000006,64462f65-21b6-460d-af95-1edd5c119918,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000007,5b643ccd-5715-4e6d-9b3f-6e920e446090,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000008,9a9e012c-aa47-469f-a8d4-bb4f77b8e8f6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000009,048ec746-eb3b-42a6-8a6c-cd60b7baba40,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000010,1df2f99a-1c66-4d06-9383-e94066672c2e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000011,ca15d12c-705e-430b-983d-096782130bcb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000012,c2d86ced-f06d-49f4-8c00-9eee1033eb09,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000013,de6f2418-e1f5-4af6-b4df-8f41bd59d288,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000014,81483d67-50b2-46ff-b705-575eee40fd67,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000015,f1dcb11d-ca91-42a7-af99-1c549d8e8b4c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000016,2213d9b1-ab17-489d-bfed-8c7408449ff1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000017,498d1a72-c12b-46ae-9b4e-22fcff1d208b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000018,76d08233-bdb8-487f-8230-8b3ab1281527,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000019,a20677d8-0d89-4868-878c-ff9a48034136,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000020,10d9c84a-bd55-490f-9e7a-1e8d9ad4b5a5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000021,1b9c1456-6179-464e-8e79-9caf9e049ccf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000022,ee73c655-46c1-433b-ae66-69d425d6c3c3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000023,47e939ab-3f88-416c-88e6-2eab715e6644,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000024,5cf1f139-26cd-4b86-83fc-a4bb7f177ebd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000025,ea32a666-5908-4566-b6d5-d0dffdeba471,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000026,2f751db5-d0fd-4001-92fe-e73ff3578f5c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000027,f23d5906-4fc1-4a43-a175-14bdae63de1d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000028,5074ca57-2ff8-4c92-917c-9d93218dcd33,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000029,28d97161-af20-4995-ba60-6b732a78ba30,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000030,516ad73f-b988-4156-a5df-be996b564cdf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000031,03040c04-7742-47f3-aaca-4f5bb8be2dd0,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000032,182dbf35-02cc-47c4-933f-f8200de4f2c5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000033,984c50fb-3d83-4dba-b20a-72ccc71ba3ff,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000034,cb61c482-cd89-43d6-a612-ba9549080e24,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000035,821b211f-29b1-4ab6-b883-120304156d6f,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000036,1d4f40bf-ec99-48af-82d0-c72048c30300,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000037,d16fd4b5-f807-4249-9db1-a8ebff38fdfd,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000038,282df2e7-6754-4a05-9728-8a56da6c1932,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000039,c737924c-8959-4d1a-8bea-254166bc053f,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000040,e04bcae4-3c97-47da-8913-3e64550b5e11,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000041,23be0a8a-ad48-4055-a9fc-f8a21c5e94c2,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000042,08d9710d-d504-44c7-9e3b-72948829b848,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000043,e34db3c2-66be-4ede-9d34-1b6d67c5fc65,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000044,7635c840-164e-49b2-82f6-b7ccd10dd35f,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000045,25f2ce41-eeaa-499b-9458-319db7edec26,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000046,3eb9dad1-3655-42bf-8a06-ddaf09053393,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000047,dc960e76-1337-4e89-8821-a64aeaa3233a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000048,336a8fb3-8d00-4c01-b096-f7107d1493a8,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000049,142bd49b-debb-4448-8f2c-05c0657c6e13,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000050,3fc1d512-1067-4367-bd95-b94daaae42b1,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000051,b40173b8-ced8-4e6c-b61b-e2fa2307b4ff,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000052,a30774ea-9425-4a2a-a386-7a7b4bc81ad6,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
8d1cb2a7-98bd-4bf5-bd79-d1b1b61bb4df_000053,0393f123-2270-4c4d-99c9-93c1f95127e5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
