event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000001,aec8e97c-8e33-4af3-937b-a9c0055965e2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000002,9d0d8ebe-e116-42b3-9b51-b4e30d714cff,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000003,69411587-69a6-4da4-a585-b285e9dbbee2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000004,8037dc50-5092-4c64-ae22-205b992dd5a7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000005,734824a4-dbcc-4b09-8468-d1056a5dcaf9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000006,d4c35956-6d36-43da-8a59-2a7988d4f388,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000007,725f1b5f-c0b2-41f8-afa4-57af9743711d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000008,8cdf5c1e-55a8-421c-828f-42dc9bf03ce9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000009,ce1c4505-e43c-401d-9d0d-847bfb84b8f7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000010,c40962c2-ea2a-4af0-b356-3520e2ac8554,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000011,170b4ef3-caca-47ff-be38-143f29063eac,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000012,5c08ee8f-0738-4fbc-b919-e9fd9dd70df3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
8d9656a2-4b33-46a0-804c-bd0e1522ec52_000013,8a29a19d-fa31-45f1-9dfe-24e3a42d5b72,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
