event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
908b1760-1b15-4357-9063-56b01f554f33_000001,f692e092-a24c-42da-8620-aae74ebd25bd,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000002,00af1c95-cc0f-431e-82da-01991a92718a,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000003,b16676cc-e1b0-47fa-b6f0-7cb4f796060a,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
908b1760-1b15-4357-9063-56b01f554f33_000004,975baf14-4213-40ab-864b-5e3a87f2dfb5,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
908b1760-1b15-4357-9063-56b01f554f33_000005,222268a3-10f8-4b4c-b237-090a2a225a34,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000006,af023eab-5409-499b-a607-df6505863afd,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000007,c621cf76-871b-4cce-b85d-33ffb52a8e3d,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000008,8453700c-2616-41c6-b14d-fb29d6128d87,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000009,f791175f-c09c-4be2-9748-f6c8768e60ce,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000010,64cb881f-8eb4-4e5d-86fd-6db865bb26bd,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000011,366545a1-b524-409b-b141-a286029ab91e,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000012,3cfdf7f2-a346-4284-a169-0c5070aa323a,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000013,c4a65972-1c19-47bc-8a24-1c219f2f1c87,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000014,6ed0a2e1-8ee8-4639-b6cb-05ad2503d069,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000015,dccc7f98-e043-4576-9d72-c4a05a040f06,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000016,8ba3a64b-7927-49a7-8d25-f088767f67d3,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000017,b4cd441e-0f8b-4351-93b4-c61885760bb6,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000018,472f0cfd-4520-4155-aa87-cb45937c97b9,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000019,d0c08c13-965b-44bf-a79c-322654bbc9e5,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
908b1760-1b15-4357-9063-56b01f554f33_000020,dab8ac0b-35b4-4a52-aa86-aa2f71fe1a96,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
908b1760-1b15-4357-9063-56b01f554f33_000021,57e8fcde-86ae-484b-be73-0cf8f9af2399,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
908b1760-1b15-4357-9063-56b01f554f33_000022,0f7a6a7f-546b-4adf-a701-445aeed1291e,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
908b1760-1b15-4357-9063-56b01f554f33_000023,f7a4c82f-e7b7-412f-a291-94e5e3c5a416,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000024,33fd1a6c-ad16-4aff-bb8d-9857caeeb97f,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000025,cabf78b4-7f2b-49a4-a82e-606339e7591d,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000026,0c54c6e7-b3a5-45a7-8f64-171def74a61e,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000027,c7a12092-bfe0-4e83-80e5-e3c180e0b105,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000028,705753bf-5715-4ac5-8332-b2c1af7a303c,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
908b1760-1b15-4357-9063-56b01f554f33_000029,44006793-b000-499a-9b18-899701ef9156,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
908b1760-1b15-4357-9063-56b01f554f33_000030,d7367944-1d48-4f47-9736-1249de80f6d7,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
908b1760-1b15-4357-9063-56b01f554f33_000031,ae3750cf-5c05-4172-975f-eb4f76d3dbc8,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000032,4fb2d380-7682-4ea3-951f-429ead274be2,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
908b1760-1b15-4357-9063-56b01f554f33_000033,896312c7-7207-4786-a558-66e8d8b84704,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000034,a32a188d-1deb-4f91-a594-ef5a63d2c891,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000035,54bea328-6040-4da5-b68e-7c4e0f83fd87,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000036,3a6188f1-0f7d-4706-b718-a600556a5e4e,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000037,47a4ea39-a3e0-429f-9344-bba95c4cb522,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000038,e2abc562-efa4-4e21-a265-4e05d2c59943,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000039,f7615f51-3fe8-4b2a-b9bf-934969926d94,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000040,e3d8815a-7c46-4a2a-a6de-0942ef523dcd,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000041,d779b37c-f9e9-43d2-afbe-a3c9d68919dc,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000042,3aa9d8a7-8990-4756-9408-c279c8f269a6,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000043,192e21a7-5e87-4fdb-9544-853c34573172,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
908b1760-1b15-4357-9063-56b01f554f33_000044,1d5aa19c-ae00-496e-a5cf-f7373316e5d2,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
