event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
90d2d12d-723a-467f-9219-fab54c365002_000001,d2be2ea4-895c-4b88-8ad6-d0758677ae81,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000002,91e20a03-5f58-4b09-872c-2221c091394e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000003,e4db8cdd-67f5-49a2-af23-711bbeba75e7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000004,1c6502de-60ae-484b-a0a6-a100f398b8db,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000005,e5641892-791c-401c-8301-a1f309ee2f3f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000006,83b4fdd3-dbd4-466a-a59b-7493b5e9a181,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000007,e018a376-396c-4f54-b3a7-a39c1c83c159,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000008,8b3e1df1-49b2-45f9-8b9c-bf1dc9879cf5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000009,b8f7b279-38ac-4357-ba5e-131bd58bf14d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000010,aa0066fb-2e5b-46cf-86b7-485550895693,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000011,fbde623f-e58c-4a04-a2cc-ba716915b811,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000012,c602b8ea-b0d7-4a03-b36c-70da99b3397b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000013,ef8458a7-fad8-47ca-aeb5-35cca731328c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000014,114dab33-5f4e-4f23-9a6b-cea3d4130891,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000015,5194e3d3-fc9a-4bb2-a528-4c0a0b064e93,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000016,44fa744f-76ba-40ae-8424-de67beaf992f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000017,b6e93271-4774-4e76-ab3e-ace687d57f3f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000018,ce216d91-512a-446f-881d-810f7a2420a3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000019,2c72631e-85ab-41b4-9a59-f59bef091a2f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000020,ec54f3ff-bf04-430f-9b6c-84d061eb5c06,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000021,825824ed-eab9-4b34-91d7-c3a20ee43f0c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000022,603a1cae-b683-4714-9a3e-5d30c940a66e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000023,40493bf6-03b5-45f7-960c-aa05e32ed782,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000024,99f3ac27-cae2-439b-a43f-fdccde8d3f14,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000025,f254a46e-c715-4d00-812e-ebd54afa96d0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000026,e19abb7b-f5fb-4f69-bf18-6af92c1cf910,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
90d2d12d-723a-467f-9219-fab54c365002_000027,1bf2e83d-22aa-47f2-b835-0ab6534d09d2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
