event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
91d632f1-ce39-4fa9-ab49-159e9d849e33_000001,eebc9530-baa4-4df2-93e1-cbb2785b8560,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000002,151aa1a8-655c-430c-9fd5-47fb70a34dbc,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000003,9ffc3ef9-9bce-4bfb-ad47-d877242cd6a5,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000004,be76b411-56bd-4481-878b-475fb378f4c2,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000005,c89750f8-ded1-4417-91c7-19eb43d391a1,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000006,fc22823b-1c22-44c9-bf82-7913075d1700,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000007,6dbc3501-e202-4082-bd32-fd3cdea06752,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000008,6ffed49c-ea5d-4cdb-a0d7-2586454ddac3,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000009,48c9ec04-fcf0-419c-93c4-705fe0e96e74,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000010,b6c3ae11-7ff3-4350-8ba0-576d2ffe0272,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000011,87b9c29e-dd85-4e92-828c-9d2c1b74733c,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000012,0f1b155d-8d90-4a61-aeed-da37cfdceb90,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000013,cb186a7f-b78b-4f00-950f-e9663282bd16,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000014,ca9a25b1-7031-4907-b0b2-66a03aadba40,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000015,1cb16c45-e8c3-409f-9b9a-315ba38aa922,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000016,abad641e-b60d-4a01-baf0-3cfbab6a58bb,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
91d632f1-ce39-4fa9-ab49-159e9d849e33_000017,baa4442a-d7ba-4f88-a9dc-ea3019912152,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
