event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
93aa1ec0-c51a-4113-a120-bfe579e4086d_000001,200be8a2-2e8a-4bbb-81cb-a964796876e5,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000002,e47141a0-369e-47d0-9863-e7450d6b6739,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000003,89220baa-4240-46e3-a5dc-e1b1f01894e0,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000004,97e5d91f-84cf-4d32-a38b-669ff836d1e3,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000005,5a8b8a50-90bd-46a3-9845-c893434a6af5,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000006,77ab1c1d-f39d-4601-815c-4b88cba4f23b,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000007,6651841c-1ae9-4e33-8677-4880e96db91f,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000008,de648de3-8069-4a7b-a2aa-7fb5d3b35503,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000009,a6686ff4-8c5a-46ac-b33e-acba70ccabe1,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000010,ec53d081-ba4c-42e7-8a5d-5f846e5d5f24,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000011,de7ac61c-32af-49bb-8db8-111510988f6e,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000012,2bd7b527-7e12-4f21-9627-702422691033,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000013,a0761e6e-1929-4c99-9e25-ba7ddb88118f,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000014,9d1c6ed9-e4ef-4214-9664-e44ab389df20,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000015,2e1d1999-4dff-47c6-9649-4c9e1ab653df,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000016,ef7dd896-50a7-4148-bff7-43c152ba302c,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000017,05c8fa4b-8f4b-4087-bbbf-260a7f5ac6c0,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000018,67e371e5-6bf0-454c-88a7-95fcbe4c5930,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000019,2e85e980-9e2e-4849-9a55-d5dac6ca8508,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000020,298fa869-41ab-40d6-86ef-bc5df8da44ec,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000021,75202327-0a1f-420b-8ac6-9b7c9ffcc542,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000022,6a092bcc-4f2f-4d3d-be2a-0f35ee62d932,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000023,d589c78a-f6f6-40ee-9894-4988eb8bac21,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000024,591a0415-4ddb-4ef2-900b-833d67a3e24a,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000025,288a8c20-ad60-4d03-b960-c9c05290fee8,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000026,2d184c5f-729d-4bd9-bebf-a003050a9238,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000027,065fd4e1-50f6-4435-8096-5806fd3deb0c,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000028,9b85d41a-00b4-4e9e-b800-a87945b38a44,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
93aa1ec0-c51a-4113-a120-bfe579e4086d_000029,1c32999c-027c-49ea-875c-75092b97c740,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
