event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000001,646fc1bd-5d7f-4db0-bd79-def6badf36c6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000002,279b3ade-201d-49b6-8efd-5160b5cf83cf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000003,b908e51b-0942-4623-8315-73a7abc6833f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000004,5441c85f-cad9-4da0-a50f-74cde46380e1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000005,c67c6e74-3ef9-4f78-9d1c-d47636763020,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000006,c3013efc-1a0b-401e-93ef-8333d31133bf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000007,7d4bd682-efab-4ccd-a11a-dcc7ad8da32e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000008,80af4c49-b6ea-4b24-96c5-ddf3609dc206,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000009,b76615ac-6006-4272-a2ff-7913f62821e9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000010,d10f00d1-092e-48cc-bf5f-2c12772882ea,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000011,ae3364a8-52db-4f99-8357-b2cc460fe188,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000012,826a7e7f-6648-476d-8f90-6afa1717149c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000013,32b73dfb-ec56-4f6c-8258-1da9a1f50d74,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000014,e1142c56-fdb3-4d76-a892-083abcb4e91a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000015,09c8c692-5dac-4525-a545-782dad045bfb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000016,64efd9a4-13b2-4419-9293-82bb4164bb07,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000017,aeb0ebfa-09ab-4819-af71-49a4e324c502,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000018,5e3019e9-4386-4d62-b5bf-0824377686e3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000019,217beaae-d47f-4f1f-9670-f92c1da9dc54,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000020,5b0cd873-3a61-4a90-bea0-361170c5b66e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000021,08ebd72d-4265-4011-af05-9d64efc9092f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000022,5719a4ec-6e64-4e7b-9acc-14ac6853fd78,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000023,87c1aef4-fda2-4e99-ad99-b0fd7be2e014,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000024,c944614d-f0f7-440d-abd5-908e238233b0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000025,09051e87-4b5c-49f8-b2d2-5f4d5f0d723b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000026,7d3de857-58bf-4733-95bb-70e99ed3e250,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000027,c96b0710-c65d-4c1c-a9aa-eed2fb26603a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000028,a6ab1dbd-4288-445d-b6cf-0c0dbcd3d4cf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000029,02cd4157-b22c-45fb-a463-a74b4c73f6c0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000030,25791fed-0463-49e5-b98d-71d7bd4b5039,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000031,8c1aa5c2-1b3c-4e58-ae2b-4397382133f9,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000032,a3f2cc05-7bec-42ef-a5c9-861cf15e6d3d,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000033,707859eb-991e-4c18-a002-c7f25abe5cfb,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000034,6c6caf18-b081-452b-9032-6b4aec2fe1e6,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000035,b38f84b8-b516-4941-b57d-ebcd2cc426a3,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000036,7abde549-0398-4c38-a563-1a7299d3d066,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000037,c0485464-f79b-40da-8ec5-df3abacb8f19,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000038,2c793dc8-8c1d-4def-abf0-09cd338d8c23,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000039,7b2cf581-67f8-4fcd-b073-42b96713c74c,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000040,db436b86-d569-4f8b-8d62-131db9a6cb98,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000041,85e9f48e-0a15-4ba3-8914-3ac8162d2c95,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000042,9e7508fa-d445-42d3-abd8-553153010e42,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000043,e00ed6ef-9d94-4374-be71-ddcbc1604774,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000044,b392fd81-62d6-4810-9de1-88e8f277c823,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000045,c4e03453-42dd-4994-be8b-02e7f415b1f0,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000046,e2bf7c82-f16d-4975-a6ef-874f580618cd,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000047,16f022a8-9a14-4b2d-9cc8-37f9a7643f90,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000048,06bde147-6d7e-4066-8cea-54430254cd7a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000049,f221c486-a534-41c7-adce-28ae811986ac,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000050,f6afcf61-ce35-43c3-8b2a-159ac2c2be53,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000051,197b3e94-15b8-41f9-8e99-3f877c2fd759,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000052,8f5824c0-ae11-4f38-879c-77584241acda,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000053,5ecec153-4ebf-4996-8ce4-7038b847db28,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000054,420b27a8-1fd5-48fd-a172-35d40f25b52b,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000055,47ca657e-d34d-455f-9452-3f676c261270,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000056,d442197c-f80c-496a-b190-85696411c4bf,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000057,73238a69-70da-4e13-ae83-399f28cef65c,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000058,7a66da03-29ea-4ce6-add0-f14bee76e6c3,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000059,3ec62b46-5bd0-410f-9c96-a712dcbc75db,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000060,1ec31eda-a1df-4e52-bd9b-50b7422879ad,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
93abd893-55cb-4a6e-bf2d-ceab153f49ec_000061,ce07fd1a-cad3-4369-a075-91cb5e2ebd7a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
