event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
9540e850-191f-45f5-9332-f0467dfaff9b_000001,c71ad260-31ae-49ad-84a6-f181dad05be5,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000002,d8e3404f-4424-4cfe-9434-45fdd72906fd,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000003,58fd90c0-2c33-4679-9134-8e09970c249b,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000004,239d7a0a-4673-4275-b774-b75ed4964de5,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000005,13b2190b-c5cf-402b-90e6-2c65d5793b46,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000006,1d040276-0b2f-4345-a29f-aa22234b5cd4,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000007,9d88ce1d-0676-453b-95b2-3ff41f3f6856,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000008,9c2b472e-7418-4f7a-b0fc-6363fd82b468,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000009,6532920f-73f2-4bd2-be2e-dcc55408012a,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000010,77dca959-90f8-48f3-a682-1d8cd1100d80,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000011,65e47ae9-69c3-4fbe-ae72-8ece667b34a5,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000012,dbec9c52-1f1c-4e97-8e88-037cc0a3262a,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000013,bf84a3b6-9e99-4ce3-9350-195bc577f1e9,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000014,a80236f2-5a23-4012-bf98-764aae9bbd0e,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000015,e3e02e5e-b8cc-44d0-b03e-16e173641b9d,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000016,c4e7b28a-5245-49d4-9e2a-ab3bd9b45c66,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000017,9ab39eee-848d-40d7-b952-c00fde2ee4d9,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000018,f566ec25-69c6-4fd4-a07e-7e8d515dab67,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000019,b26dc290-80b7-4bda-b652-b60acdde29fe,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000020,04448606-dd97-4b46-9d54-c83dd92809b1,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000021,16f87e60-16ec-40dc-802c-a7f93b892e47,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000022,0e5e80e1-1519-4c3c-8ab5-e6fcaea784c2,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000023,8b6b86f2-8bd7-4f35-82f1-c93631bdf2ff,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000024,d8be1f9a-ae17-42c7-9703-3596ebd88b6b,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000025,805c18a3-16fb-4d2b-a968-83c164e40812,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000026,3a7f013d-d2fc-4aa2-b273-f6a9ea34c1f5,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000027,9eecf354-ecc3-4480-ba32-acf048f1dd39,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000028,c96b865b-4c39-4dbd-9aee-5ea1dafcbed8,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000029,f29ea63c-1e49-41c1-b7b2-e434e385cf87,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000030,7502de91-85fe-464c-bc1e-0509f5ab2b22,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000031,44e26515-719c-465d-81db-24d327556ced,promotion,2025-1,24,24,C,Sales,OfficeA,C,SrC,CAT24,0.278,,
9540e850-191f-45f5-9332-f0467dfaff9b_000032,c0cdb5bf-f108-487c-a90a-899732a2fd68,promotion,2025-1,24,24,C,Sales,OfficeA,C,SrC,CAT24,0.278,,
