event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
97e54df5-4237-4c08-953f-385ff16ff5f8_000001,d3a87eb1-bf9b-4c5e-a61a-534c7e53a05a,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000002,5b4915da-296c-49d6-9974-c1cdd8744678,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000003,524f3a8e-1f22-4379-a0fe-b43cf1eaa761,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000004,94c5b15b-23c4-4e64-aacf-2a55b20ae9fc,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000005,97ec8473-3c33-43b7-a8f5-7e4d430be9c2,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000006,160837c8-7d4b-448a-b1ee-00047265b418,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000007,a2622d59-7a55-4618-b228-d88bcd6748be,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000008,5f63fb63-b994-41cb-b384-a87d6a34f168,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000009,aaeaf291-8fb6-49f4-9e65-bf59d5448b7e,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000010,49bbbe11-da75-4337-b274-8c220356c836,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000011,0b84f95c-ea1e-4151-9a02-5c7624c1bbff,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000012,c67d2096-fd16-4e2d-8996-a848b379ee42,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
97e54df5-4237-4c08-953f-385ff16ff5f8_000013,acb24a3e-14d1-4f8f-b585-8466e97838a6,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
