event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
983f14ca-4522-4daa-aeae-8b163881796b_000001,ccfa147c-17d8-4b9a-bb33-eab1bc5680c5,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000002,e474760f-a814-4b12-9824-52bef329cda0,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000003,5cafcd96-eee7-4668-b7e2-821684780c59,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000004,001ba00a-47dc-4df9-ad10-ed9aea4f46b7,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000005,324a430c-3a67-4930-8925-a2253f188428,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000006,267a8329-91ff-4777-887b-09273f10a094,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000007,328d653f-9f9a-4331-89b3-9a5f56efb9b5,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000008,88c28c4a-86e8-4ace-8b50-181386b631e3,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000009,6e3b158c-265a-46f0-bb05-e6445aee78bc,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000010,f1a806db-bda3-4dc4-860d-630dc236d95e,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000011,d31c2118-1e2c-4345-827e-aa1f3d69c5d1,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000012,38037c7e-a2ee-42e9-93ab-7abd029a2ee4,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
983f14ca-4522-4daa-aeae-8b163881796b_000013,17cf7bb6-6f21-4563-8b01-53c11e859a40,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
