event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
9905771d-5979-4ffc-a2af-bb6cb3053067_000001,10322756-63f1-42ae-bae7-c54a8d24e776,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000002,8ccf0399-6e3c-43de-8bc1-b45735f6bcda,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000003,962f68db-8e26-4658-b9c1-0b9e7eeca233,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000004,5420a9da-8b44-4e3d-8ea1-621c56092d05,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000005,883d83bc-b1ef-40a9-8aad-059b400f8849,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000006,5dacac9d-08cf-44c3-9414-42a481f562e7,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000007,e66a9ab5-6c37-43b5-86b9-79de5c34d35b,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000008,27cff5a0-72e6-43fc-a49d-3d1d91014f73,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000009,c9fd5859-2a08-4f5e-ad30-781adb899fa5,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000010,2ba15b28-ce71-4f24-82a9-61f5d6f1573b,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000011,0862aeeb-da41-4094-aa5e-2c5325d6b503,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000012,ee81d7c6-3658-4612-bc7b-aa91ab9bc50c,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000013,2a72ab45-9ba7-4ceb-bbb3-889540ac793d,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000014,559d78f3-d8d0-4914-93aa-cc0e76825773,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000015,463eaf98-4ae2-494b-8bb4-405aa3cbdbf0,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000016,7ac0d4e1-7406-4fbe-bd9e-d618d33c30db,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000017,f5e87e61-d918-4ba2-94ba-eebbeac44c00,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000018,1732f24b-3f57-4a45-b217-9fe1dc28dbd6,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000019,30d7ec48-57e9-4cb9-83c5-e315e8c33737,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000020,7c527a7f-b54b-4dd4-aae6-5836b3c59382,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000021,0448eddd-bc4d-4936-8f89-1a22e0916875,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000022,670e6abb-e90e-4617-8c55-e68e2d33a7ac,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000023,e0b036c3-ca50-4339-a912-d9e374e06e2d,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000024,3d105258-1be5-4213-8f35-37a3211b6e1c,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000025,81014e46-44a6-48bc-9d9d-f8e2399c5e74,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000026,362184ba-01e0-4f2c-bbba-aa931d7c3458,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000027,afe4a256-6d7c-4910-9c03-53ea7bc1f5fb,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000028,6dbaebc3-c2ee-4b97-b66f-2178514017fb,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000029,a13ddd6c-0933-401f-afbd-2dc0f552dd68,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000030,78ce8622-06a9-4653-ae31-5de1661ff159,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000031,c23fa1d2-60ab-413a-9e37-9d9780b6957f,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000032,64793301-3d28-4bf8-b24c-1a410fa5f90a,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000033,80588716-fb29-4fa0-b7be-025054c8c037,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000034,4d53d093-ec9c-4845-b2c5-342c5049a6a7,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000035,455f618c-34ce-4b9c-907e-b8cf2b23917a,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000036,a4644ee0-b9e5-4630-9106-ebd0f84e2767,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000037,952f2a05-041f-4956-aa87-50556869f92b,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000038,0e6a959b-7a01-4f06-99f7-59981ca7c629,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000039,6f2363e6-e2ec-4c29-b846-1549fbd2cef5,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000040,bd8ab5c5-9d1a-41ca-8e9b-d9f613f1b289,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000041,dfdd042a-ab26-4c17-a491-f947bf2a4a58,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000042,6ade74cd-00e5-4543-9865-2f61d8a414e7,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000043,ddf5ec54-2577-4793-bbab-b29868e9c8fd,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000044,9181e2d1-537a-4211-aef4-ff2c75d20c6b,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000045,77207d22-3230-44b4-910a-08870e941c27,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000046,435a0847-94ae-4cb7-a3be-e7f2ff0c0ed4,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000047,d3c67d0c-9b7c-4c37-aeca-0f31bc3cea18,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000048,55a22085-8763-4ef8-bcf7-7498b592792f,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000049,198e72e8-345c-4091-a26f-ec1bb9538bff,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000050,ba136c67-cc74-4986-9cd1-d60a2f7e6023,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000051,53396b80-faa5-43df-bea8-ca87d0266578,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000052,b525de98-8c8c-43ff-85a0-f067bd228b65,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000053,853f8056-879e-4d47-97f6-1739889db481,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000054,d5bf733c-cf67-458a-aeef-e7e91c527926,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000055,40dfe7f8-7eba-4666-9119-db46edacfa0e,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000056,094e9a41-6c2d-406e-a7d6-a0083cea3a59,promotion,2025-4,7,6,A,Consultant,Hamburg,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000057,6189efef-ad81-44d2-b6eb-9ee7f9658fdf,promotion,2025-4,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000058,66e8739a-f21a-470f-9e71-c11575f4fd5a,promotion,2025-4,9,9,A,Sales,Hamburg,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000059,db450478-c2ea-45ea-acdf-fc5ccfb9c237,promotion,2025-4,8,8,A,Consultant,Helsinki,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000060,1e874ff5-1448-4aed-b8d9-b5a4888d6640,promotion,2025-4,7,6,A,Consultant,Helsinki,A,AC,CAT6,,,
9905771d-5979-4ffc-a2af-bb6cb3053067_000061,2b25ae8d-769a-4cb4-b92c-f10da4355199,promotion,2025-4,8,7,A,Consultant,Helsinki,A,AC,CAT6,,,
