event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
99860a61-a29a-4851-a441-335bb0440914_000001,24145acb-4288-4539-aeca-8a6e9394d34d,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000002,e8cbb919-3187-4475-b741-df9199304622,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000003,3eb97812-d819-4949-96b7-31e096d1d88a,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
99860a61-a29a-4851-a441-335bb0440914_000004,3e7c71b0-9679-4e62-92a3-8651e5b69119,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
99860a61-a29a-4851-a441-335bb0440914_000005,d189c023-bc9d-45d7-9f29-e89664469cbe,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000006,56a02373-ab86-4352-ad41-2d08d9d942eb,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000007,b36b1153-d6b8-467f-a0c2-c6862feb89dc,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000008,a0255e11-9496-47ca-95da-28180ea18225,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000009,1108fe84-b748-4892-b8e6-bd45a355c8aa,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000010,6d7e72bb-d7d9-459c-b876-616f3f9a5ad6,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000011,e5c51347-14e3-40b6-ac4b-69aab9c18f5e,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000012,eaf980bf-09ae-457b-aa2e-91cb2e8bec2d,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000013,0affa302-a8fa-4b0a-8502-c1e4f58e046b,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000014,9b65c254-1778-46ed-a9d7-99c7bf1ebcf4,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000015,cf20becc-e213-42b2-b8f7-bb18d2eb9928,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000016,30cb009a-5771-4a82-bcd4-56e65e43ddab,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000017,77341d69-7b9c-48be-a17c-b36cbeba85d6,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000018,468fe7d8-f2aa-4991-87ba-8badca94e5fb,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000019,4aee271c-534b-41d9-882f-d428c0a1eb53,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
99860a61-a29a-4851-a441-335bb0440914_000020,bb7ecc02-f552-4243-b8b0-d1f3e32ab0b4,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
99860a61-a29a-4851-a441-335bb0440914_000021,30583a2c-dd93-42cf-b44b-d0cc17a44c03,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
99860a61-a29a-4851-a441-335bb0440914_000022,55be9b5b-ba63-4385-8111-790e11119ce1,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
99860a61-a29a-4851-a441-335bb0440914_000023,7aad98e0-0b18-4deb-81cc-113f1a9e53d4,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000024,7d22eed9-cad9-4b7d-b34c-efec9d790ef2,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000025,fdc27363-20df-4c90-a451-556848632f3f,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000026,b0de8016-7871-4943-9c9b-4b9cb524dd31,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000027,22b51d3b-f4e9-4cd9-85ea-778f7f61cf7a,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000028,a7d042bd-6f13-4faf-b1ec-d23ebb18513a,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
99860a61-a29a-4851-a441-335bb0440914_000029,2a06edf3-14b2-4b96-89dc-22219c3078da,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
99860a61-a29a-4851-a441-335bb0440914_000030,e236f94e-c315-4478-bd87-7f951fed2005,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
99860a61-a29a-4851-a441-335bb0440914_000031,bf27c150-a4c1-4d2e-b118-8eed2051faff,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000032,a3c8630a-cd4e-4263-8852-db901a418108,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
99860a61-a29a-4851-a441-335bb0440914_000033,1133569c-5fbc-4907-bba4-f54738920a34,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000034,e8aed537-1602-4b1e-b8f3-ce3f1ff6f3db,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000035,279bddee-41f1-4020-b620-2c28dbb6d3d8,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000036,4f17334d-6b36-4456-9612-1bf8a74e8d77,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000037,05ae645b-7586-4aaa-84d2-e3127c73e856,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000038,3427a4ad-c687-4397-9d33-2efc79449fea,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000039,255ea77f-0e7a-4b49-9e0f-40eb1f64bb8f,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000040,961546ce-4ff9-469a-ab10-9430f8d74125,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000041,82abbb83-d805-481d-a07e-64d65fb23028,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000042,f44a9346-4eb6-4d29-b2f3-6cc5078f13a3,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000043,7b29b8d5-a062-4e6c-bb2f-bfb304a63ca7,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000044,190f45a6-5ec0-443f-9bde-4fc54f46a70a,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000045,b3ed85a4-045e-4856-a35a-4807a7beabc9,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000046,6f781034-0c2c-4124-9bf3-8bb80dc7db37,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000047,bd1a8423-a035-4ed8-b348-7951e66cb9fd,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
99860a61-a29a-4851-a441-335bb0440914_000048,0331f0f2-a33d-4e2c-9aa3-4efca1af9737,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
